t,n,A,B,C,D
0.00162,0,455.3623,449.714142,0,0
0.00303,1,455.3623,449.714142,0,0
0.00484,2,455.3623,449.714142,0,0
0.00487,3,455.3623,449.714142,0,0
0.00605,4,455.3623,449.714142,0,0
0.00792,5,455.3623,449.714142,0,0
0.00797,6,455.3623,449.714142,0,0
0.00918,7,455.3623,449.714142,0,0
0.00919,8,455.3623,449.714142,0,0
0.01100,9,455.3623,449.714142,0,0
0.01287,10,455.3623,449.714142,0,0
0.01293,11,455.3623,449.714142,0,0
0.01411,12,455.3623,449.714142,0,0
0.01596,13,455.3623,449.714142,0,0
0.01599,14,455.3623,449.714142,0,0
0.01714,15,455.3623,449.714142,0,0
0.01716,16,455.3623,449.714142,0,0
0.01905,17,455.3623,449.714142,0,0
0.02084,18,455.3623,449.714142,0,0
0.02087,19,455.3623,449.714142,0,0
0.02212,20,455.3623,449.714142,0,0
0.02394,21,455.3623,449.714142,0,0
0.02397,22,455.3623,449.714142,0,0
0.02515,23,455.3623,449.714142,0,0
0.02517,24,455.3623,449.714142,0,0
0.02700,25,455.3623,449.714142,0,0
0.02886,26,455.3623,449.714142,0,0
0.02889,27,455.3623,449.714142,0,0
0.03008,28,455.3623,449.714142,0,0
0.03190,29,455.3623,449.714142,0,0
0.03192,30,455.3623,449.714142,0,0
0.03320,31,455.3623,449.714142,0,0
0.03324,32,455.3623,449.714142,0,0
0.03501,33,455.3623,449.714142,0,0
0.03685,34,455.3623,449.714142,0,0
0.03689,35,455.3623,449.714142,0,0
0.03807,36,455.3623,449.714142,0,0
0.03993,37,455.3623,449.714142,0,0
0.03995,38,455.3623,449.714142,0,0
0.04116,39,455.3623,449.714142,0,0
0.04117,40,455.3623,449.714142,0,0
0.04300,41,455.3623,449.714142,0,0
0.04487,42,455.3623,449.714142,0,0
0.04490,43,455.3623,449.714142,0,0
0.04607,44,455.3623,449.714142,0,0
0.04792,45,455.3623,449.714142,0,0
0.04796,46,455.3623,449.714142,0,0
0.04914,47,455.3623,449.714142,0,0
0.04916,48,455.3623,449.714142,0,0
0.05099,49,455.3623,449.714142,0,0
0.05284,50,455.3623,449.714142,0,0
0.05287,51,455.3623,449.714142,0,0
0.05405,52,455.3623,449.714142,0,0
0.05594,53,455.3623,449.714142,0,0
0.05596,54,455.3623,449.714142,0,0
0.05715,55,455.3623,449.714142,0,0
0.05716,56,455.3623,449.714142,0,0
0.05907,57,455.3623,449.714142,0,0
0.06088,58,455.3623,449.714142,0,0
0.06091,59,455.3623,449.714142,0,0
0.06206,60,455.3623,449.714142,0,0
0.06393,61,455.3623,449.714142,0,0
0.06396,62,455.3623,449.714142,0,0
0.06514,63,455.3623,449.714142,0,0
0.06516,64,455.3623,449.714142,0,0
0.06701,65,455.3623,449.714142,0,0
0.06884,66,455.3623,449.714142,0,0
0.06888,67,455.3623,449.714142,0,0
0.07006,68,455.3623,449.714142,0,0
0.07192,69,455.3623,449.714142,0,0
0.07195,70,455.3623,449.714142,0,0
0.07315,71,455.3623,449.714142,0,0
0.07316,72,455.3623,449.714142,0,0
0.07501,73,455.3623,449.714142,0,0
0.07684,74,455.3623,449.714142,0,0
0.07687,75,455.3623,449.714142,0,0
0.07808,76,455.3623,449.714142,0,0
0.07989,77,455.3623,449.714142,0,0
0.07991,78,455.3623,449.714142,0,0
0.08114,79,455.3623,449.714142,0,0
0.08115,80,455.3623,449.714142,0,0
0.08300,81,455.3623,449.714142,0,0
0.08505,82,455.3623,449.714142,0,0
0.08510,83,455.3623,449.714142,0,0
