t,n,A,B,C,D
0.00076,0,828.176147,828.177246,0,0
0.00248,1,828.176147,828.177246,0,0
0.00250,2,828.176147,828.177246,0,0
0.00376,3,828.176147,828.177246,0,0
0.00556,4,828.176147,828.177246,0,0
0.00558,5,828.176147,828.177246,0,0
0.00681,6,828.176147,828.177246,0,0
0.00863,7,828.176147,828.177246,0,0
0.00867,8,828.176147,828.177246,0,0
0.01048,9,828.176147,828.177246,0,0
0.01050,10,828.176147,828.177246,0,0
0.01187,11,828.176147,828.177246,0,0
0.01357,12,828.176147,828.177246,0,0
0.01359,13,828.176147,828.177246,0,0
0.01487,14,828.176147,828.177246,0,0
0.01665,15,828.176147,828.177246,0,0
0.01667,16,828.176147,828.177246,0,0
0.01850,17,828.176147,828.177246,0,0
0.01853,18,828.176147,828.177246,0,0
0.01973,19,828.176147,828.177246,0,0
0.02155,20,828.176147,828.177246,0,0
0.02159,21,828.176147,828.177246,0,0
0.02283,22,828.176147,828.177246,0,0
0.02464,23,828.176147,828.177246,0,0
0.02465,24,828.176147,828.177246,0,0
0.02649,25,828.176147,828.177246,0,0
0.02653,26,828.176147,828.177246,0,0
0.02776,27,828.176147,828.177246,0,0
0.02955,28,828.176147,828.177246,0,0
0.02957,29,828.176147,828.177246,0,0
0.03085,30,828.176147,828.177246,0,0
0.03264,31,828.176147,828.177246,0,0
0.03266,32,828.176147,828.177246,0,0
0.03446,33,828.176147,828.177246,0,0
0.03447,34,828.176147,828.177246,0,0
0.03572,35,828.176147,828.177246,0,0
0.03756,36,828.176147,828.177246,0,0
0.03760,37,828.176147,828.177246,0,0
0.03881,38,828.176147,828.177246,0,0
0.04068,39,828.176147,828.177246,0,0
0.04072,40,828.176147,828.177246,0,0
0.04247,41,828.176147,828.177246,0,0
0.04249,42,828.176147,828.177246,0,0
0.04371,43,828.176147,828.177246,0,0
0.04560,44,828.176147,828.177246,0,0
0.04565,45,828.176147,828.177246,0,0
0.04684,46,828.176147,828.177246,0,0
0.04864,47,828.176147,828.177246,0,0
0.04865,48,828.176147,828.177246,0,0
0.05049,49,828.176147,828.177246,0,0
0.05052,50,828.176147,828.177246,0,0
0.05175,51,828.176147,828.177246,0,0
0.05356,52,828.176147,828.177246,0,0
0.05357,53,828.176147,828.177246,0,0
0.05485,54,828.176147,828.177246,0,0
0.05667,55,828.176147,828.177246,0,0
0.05670,56,828.176147,828.177246,0,0
0.05846,57,828.176147,828.177246,0,0
0.05848,58,828.176147,828.177246,0,0
0.05972,59,828.176147,828.177246,0,0
0.06191,60,828.176147,828.177246,0,0
0.06198,61,828.176147,828.177246,0,0
0.06283,62,828.176147,828.177246,0,0
0.06465,63,828.176147,828.177246,0,0
0.06470,64,828.176147,828.177246,0,0
0.06649,65,828.176147,828.177246,0,0
0.06651,66,828.176147,828.177246,0,0
0.06772,67,828.176147,828.177246,0,0
0.06955,68,828.176147,828.177246,0,0
0.06957,69,828.176147,828.177246,0,0
0.07084,70,828.176147,828.177246,0,0
0.07265,71,828.176147,828.177246,0,0
0.07268,72,828.176147,828.177246,0,0
0.07453,73,828.176147,828.177246,0,0
0.07456,74,828.176147,828.177246,0,0
0.07572,75,828.176147,828.177246,0,0
0.07755,76,828.176147,828.177246,0,0
0.07757,77,828.176147,828.177246,0,0
0.07883,78,828.176147,828.177246,0,0
0.08073,79,828.176147,828.177246,0,0
0.08076,80,828.176147,828.177246,0,0
0.08247,81,828.176147,828.177246,0,0
0.08248,82,828.176147,828.177246,0,0
0.08372,83,828.176147,828.177246,0,0
0.08555,84,828.176147,828.177246,0,0
0.08557,85,828.176147,828.177246,0,0
0.08683,86,828.176147,828.177246,0,0
0.08866,87,828.176147,828.177246,0,0
0.08867,88,828.176147,828.177246,0,0
0.09049,89,828.176147,828.177246,0,0
0.09052,90,828.176147,828.177246,0,0
0.09172,91,828.176147,828.177246,0,0
0.09355,92,828.176147,828.177246,0,0
0.09356,93,828.176147,828.177246,0,0
0.09518,94,828.176147,828.177246,0,0
0.09666,95,828.176147,828.177246,0,0
0.09667,96,828.176147,828.177246,0,0
0.09848,97,828.176147,828.177246,0,0
0.09850,98,828.176147,828.177246,0,0
0.09972,99,828.176147,828.177246,0,0
0.10155,100,828.176147,828.177246,0,0
0.10156,101,828.176147,828.177246,0,0
