t,n,A,B,C,D
0.00215,0,232.682983,233.009567,-0.326583862,0
0.00218,1,232.682983,233.009521,-0.3265381,-0.0163597353
0.00337,2,232.682983,233.009521,-0.3265381,-0.0163597353
0.00521,3,232.682983,233.009521,-0.3265381,-0.0163597353
0.00525,4,232.682983,233.009521,-0.3265381,-0.0163597353
0.00704,5,232.682983,233.009521,-0.3265381,-0.0163597353
0.00709,6,232.682983,233.009521,-0.3265381,0
0.00831,7,232.682983,233.009521,-0.3265381,0
0.01014,8,232.682983,233.009521,-0.3265381,0
0.01017,9,232.682983,233.009521,-0.3265381,0
0.01135,10,232.682983,233.009521,-0.3265381,0
0.01322,11,232.682983,233.009521,-0.3265381,0
0.01326,12,232.682983,233.009521,-0.3265381,0
0.01506,13,232.682983,233.009521,-0.3265381,0
0.01512,14,232.682983,233.009521,-0.3265381,0
0.01632,15,232.682983,233.009521,-0.3265381,0
0.01828,16,232.682983,233.009521,-0.3265381,0
0.01831,17,232.682983,233.009521,-0.3265381,0
0.01936,18,232.682983,233.009521,-0.3265381,0
0.02124,19,232.682983,233.009521,-0.3265381,0
0.02127,20,232.682983,233.009521,-0.3265381,0
0.02305,21,232.682983,233.009521,-0.3265381,0
0.02307,22,232.682983,233.009521,-0.3265381,0
0.02427,23,232.682983,233.009521,-0.3265381,0
0.02613,24,232.682983,233.009521,-0.3265381,0
0.02616,25,232.682983,233.009491,-0.326507568,-0.0272662267
0.02736,26,232.682983,233.009445,-0.3264618,-0.0272662267
0.02921,27,232.682983,233.009445,-0.3264618,-0.0272662267
0.02925,28,232.682983,233.009445,-0.3264618,-0.03817272
0.03103,29,232.682983,233.009415,-0.326431274,-0.0163597353
0.03106,30,232.682983,233.009415,-0.326431274,-0.0163597353
0.03228,31,232.682983,233.009415,-0.326431274,-0.0163597353
0.03415,32,232.682983,233.009445,-0.3264618,-0.0163597353
0.03421,33,232.682983,233.009445,-0.3264618,0
0.03538,34,232.682983,233.009445,-0.3264618,0
0.03721,35,232.682983,233.009445,-0.3264618,0
0.03725,36,232.682983,233.009445,-0.3264618,0
0.03904,37,232.682983,233.009445,-0.3264618,0
0.03908,38,232.682983,233.009445,-0.3264618,0
0.04028,39,232.682983,233.009445,-0.3264618,0
0.04213,40,232.682983,233.009445,-0.3264618,0
0.04216,41,232.682983,233.009445,-0.3264618,0
0.04352,42,232.682983,233.009445,-0.3264618,0
0.04522,43,232.682983,233.009445,-0.3264618,0
0.04525,44,232.682983,233.009445,-0.3264618,0
0.04704,45,232.682983,233.009445,-0.3264618,0
0.04707,46,232.682983,233.009445,-0.3264618,0
0.04830,47,232.682983,233.009445,-0.3264618,0
0.05012,48,232.682983,233.009445,-0.3264618,0
0.05015,49,232.682983,233.009445,-0.3264618,0
0.05139,50,232.682983,233.009445,-0.3264618,0
0.05323,51,232.682983,233.009445,-0.3264618,0
0.05327,52,232.682983,233.009445,-0.3264618,0
0.05507,53,232.682983,233.009445,-0.3264618,0
0.05510,54,232.682983,233.009445,-0.3264618,0
0.05627,55,232.682983,233.009445,-0.3264618,0
0.05816,56,232.682983,233.009415,-0.326431274,0
0.05819,57,232.682983,233.009415,-0.326431274,-0.0163597353
0.05935,58,232.682983,233.009415,-0.326431274,-0.0163597353
0.06122,59,232.682983,233.009369,-0.3263855,-0.0272662267
0.06126,60,232.682983,233.009369,-0.3263855,-0.0163597353
0.06304,61,232.682983,233.009338,-0.32635498,-0.0163597353
0.06307,62,232.682983,233.009338,-0.32635498,-0.0163597353
0.06428,63,232.682983,233.009338,-0.32635498,-0.0163597353
0.06629,64,232.682983,233.009338,-0.32635498,-0.0163597353
0.06638,65,232.682983,233.009338,-0.32635498,-0.0163597353
0.06737,66,232.682983,233.009338,-0.32635498,0
0.06919,67,232.682983,233.009338,-0.32635498,0
0.06922,68,232.682983,233.009338,-0.32635498,0
0.07101,69,232.682983,233.009338,-0.32635498,0
0.07104,70,232.682983,233.009338,-0.32635498,0
0.07226,71,232.682983,233.009338,-0.32635498,0
0.07416,72,232.682983,233.009338,-0.32635498,0
0.07419,73,232.682983,233.009338,-0.32635498,0
0.07535,74,232.682983,233.009338,-0.32635498,0
0.07720,75,232.682983,233.009338,-0.32635498,0
0.07723,76,232.682983,233.009338,-0.32635498,0
0.07905,77,232.682983,233.009338,-0.32635498,0
0.07908,78,232.682983,233.009338,-0.32635498,0
0.08027,79,232.682983,233.009338,-0.32635498,0
0.08214,80,232.682983,233.009338,-0.32635498,0
0.08217,81,232.682983,233.009338,-0.32635498,0
0.08337,82,232.682983,233.009338,-0.32635498,0
0.08523,83,232.682983,233.009338,-0.32635498,0
0.08526,84,232.682983,233.009338,-0.32635498,0
0.08702,85,232.682983,233.009338,-0.32635498,0
0.08704,86,232.682983,233.009338,-0.32635498,0
0.08828,87,232.682983,233.009338,-0.32635498,0
0.09010,88,232.682983,233.009338,-0.32635498,0
0.09014,89,232.682983,233.009338,-0.32635498,0
0.09136,90,232.682983,233.009338,-0.32635498,-0.0163597353
0.09321,91,232.682983,233.0093,-0.3263092,-0.0163597353
0.09324,92,232.682983,233.0093,-0.3263092,-0.0272662267
0.09502,93,232.682983,233.0093,-0.3263092,-0.0272662267
0.09505,94,232.682983,233.009247,-0.326263428,-0.0163597353
0.09628,95,232.682983,233.009247,-0.326263428,-0.0163597353
0.09815,96,232.682983,233.009247,-0.326263428,-0.0163597353
0.09817,97,232.682983,233.009247,-0.326263428,-0.0163597353
0.09951,98,232.682983,233.009247,-0.326263428,-0.0163597353
0.10124,99,232.682983,233.009247,-0.326263428,-0.0163597353
0.10129,100,232.682983,233.009247,-0.326263428,0
0.10301,101,232.682983,233.009247,-0.326263428,0
0.10303,102,232.682983,233.009247,-0.326263428,0
0.10427,103,232.682983,233.009247,-0.326263428,0
0.10612,104,232.682983,233.009247,-0.326263428,0
0.10615,105,232.682983,233.009247,-0.326263428,0
0.10738,106,232.682983,233.009247,-0.326263428,0
0.10929,107,232.682983,233.009247,-0.326263428,0
0.10934,108,232.682983,233.009247,-0.326263428,0
0.11102,109,232.682983,233.009247,-0.326263428,0
0.11103,110,232.682983,233.009247,-0.326263428,0
0.11227,111,232.682983,233.009247,-0.326263428,0
0.11411,112,232.682983,233.009247,-0.326263428,0
0.11415,113,232.682983,233.009247,-0.326263428,0
0.11535,114,232.682983,233.009247,-0.326263428,0
0.11721,115,232.682983,233.009247,-0.326263428,0
0.11726,116,232.682983,233.009247,-0.326263428,0
0.11901,117,232.682983,233.009247,-0.326263428,0
0.11903,118,232.682983,233.009247,-0.326263428,0
0.12029,119,232.682983,233.009247,-0.326263428,0
0.12211,120,232.682983,233.009247,-0.326263428,0
0.12213,121,232.682983,233.009247,-0.326263428,0
0.12337,122,232.682983,233.009247,-0.326263428,0
0.12519,123,232.682983,233.009247,-0.326263428,0
0.12521,124,232.682983,233.009247,-0.326263428,0
0.12702,125,232.682983,233.009247,-0.326263428,0
0.12704,126,232.682983,233.009247,-0.326263428,0
0.12829,127,232.682983,233.009247,-0.326263428,0
0.13009,128,232.682983,233.009247,-0.326263428,0
0.13012,129,232.682983,233.009247,-0.326263428,0
0.13135,130,232.682983,233.009247,-0.326263428,-0.0163597353
0.13320,131,232.682983,233.009247,-0.326263428,-0.0163597353
0.13323,132,232.682983,233.009216,-0.3262329,-0.0163597353
0.13501,133,232.682983,233.009216,-0.3262329,-0.0163597353
0.13503,134,232.682983,233.009216,-0.3262329,-0.0163597353
0.13629,135,232.682983,233.009171,-0.326187134,-0.0272662267
0.13810,136,232.682983,233.009171,-0.326187134,-0.0272662267
0.13812,137,232.682983,233.009171,-0.326187134,-0.0163597353
0.13935,138,232.682983,233.009171,-0.326187134,-0.0163597353
0.14119,139,232.682983,233.009171,-0.326187134,-0.0163597353
0.14120,140,232.682983,233.009171,-0.326187134,-0.0163597353
0.14302,141,232.682983,233.009171,-0.326187134,-0.0163597353
0.14305,142,232.682983,233.009171,-0.326187134,0
0.14430,143,232.682983,233.009171,-0.326187134,0
0.14610,144,232.682983,233.009171,-0.326187134,0
0.14612,145,232.682983,233.009216,-0.3262329,0
0.14735,146,232.682983,233.009216,-0.3262329,0
0.14964,147,232.682983,233.009216,-0.3262329,0
0.14972,148,232.682983,233.009216,-0.3262329,0
0.15105,149,232.682983,233.009216,-0.3262329,0
0.15109,150,232.682983,233.009216,-0.3262329,0
0.15228,151,232.682983,233.009216,-0.3262329,0
0.15409,152,232.682983,233.009216,-0.3262329,0
0.15410,153,232.682983,233.009216,-0.3262329,0
0.15535,154,232.682983,233.009216,-0.3262329,0
0.15723,155,232.682983,233.009216,-0.3262329,0
0.15727,156,232.682983,233.009216,-0.3262329,0
0.15901,157,232.682983,233.009216,-0.3262329,0
0.15902,158,232.682983,233.009216,-0.3262329,0
0.16027,159,232.682983,233.009216,-0.3262329,0
0.16212,160,232.682983,233.009171,-0.326187134,-0.0163597353
0.16213,161,232.682983,233.009171,-0.326187134,-0.0163597353
0.16337,162,232.682983,233.009171,-0.326187134,-0.0163597353
0.16521,163,232.682983,233.009171,-0.326187134,-0.0163597353
0.16524,164,232.682983,233.009171,-0.326187134,0
0.16701,165,232.682983,233.009171,-0.326187134,0
0.16703,166,232.682983,233.009171,-0.326187134,0
0.16827,167,232.682983,233.009171,-0.326187134,0
0.17009,168,232.682983,233.009171,-0.326187134,0
0.17011,169,232.682983,233.009171,-0.326187134,0
0.17136,170,232.682983,233.009171,-0.326187134,0
0.17322,171,232.682983,233.00914,-0.326156616,-0.0163597353
0.17325,172,232.682983,233.00914,-0.326156616,-0.0163597353
0.17501,173,232.682983,233.00914,-0.326156616,-0.0272662267
0.17502,174,232.682983,233.0091,-0.32611084,-0.0272662267
0.17628,175,232.682983,233.0091,-0.32611084,-0.0163597353
0.17810,176,232.682983,233.0091,-0.32611084,-0.0163597353
0.17812,177,232.682983,233.0091,-0.32611084,-0.0163597353
0.17935,178,232.682983,233.009064,-0.326080322,-0.0163597353
0.18119,179,232.682983,233.009064,-0.326080322,-0.0163597353
0.18122,180,232.682983,233.0091,-0.32611084,-0.0163597353
0.18301,181,232.682983,233.0091,-0.32611084,-0.0163597353
0.18305,182,232.682983,233.0091,-0.32611084,0
0.18427,183,232.682983,233.0091,-0.32611084,0
0.18612,184,232.682983,233.0091,-0.32611084,0
0.18614,185,232.682983,233.0091,-0.32611084,0
0.18737,186,232.682983,233.0091,-0.32611084,0
0.18922,187,232.682983,233.0091,-0.32611084,0
0.18926,188,232.682983,233.0091,-0.32611084,0
0.19101,189,232.682983,233.0091,-0.32611084,0
0.19103,190,232.682983,233.0091,-0.32611084,0
0.19230,191,232.682983,233.0091,-0.32611084,0
0.19409,192,232.682983,233.0091,-0.32611084,0
0.19411,193,232.682983,233.0091,-0.32611084,0
0.19535,194,232.682983,233.0091,-0.32611084,0
0.19721,195,232.682983,233.0091,-0.32611084,0
0.19723,196,232.682983,233.0091,-0.32611084,0
0.19903,197,232.682983,233.0091,-0.32611084,0
0.19905,198,232.682983,233.0091,-0.32611084,0
0.20029,199,232.682983,233.0091,-0.32611084,0
0.20212,200,232.682983,233.009064,-0.326080322,0
0.20215,201,232.682983,233.009064,-0.326080322,-0.0163597353
0.20342,202,232.682983,233.009018,-0.326034546,-0.0163597353
0.20518,203,232.682983,233.009018,-0.326034546,-0.0163597353
0.20520,204,232.682983,233.009018,-0.326034546,-0.0272662267
0.20701,205,232.682983,233.009018,-0.326034546,-0.0163597353
0.20702,206,232.682983,233.008957,-0.3259735,-0.0163597353
0.20830,207,232.682983,233.008957,-0.3259735,-0.0163597353
0.21009,208,232.682983,233.008957,-0.3259735,-0.0163597353
0.21010,209,232.682983,233.008942,-0.325958252,-0.0163597353
0.21138,210,232.682983,233.008942,-0.325958252,-0.0163597353
0.21318,211,232.682983,233.008942,-0.325958252,-0.0163597353
0.21319,212,232.682983,233.008942,-0.325958252,-0.0163597353
0.21501,213,232.682983,233.008881,-0.325897217,-0.0163597353
0.21502,214,232.682983,233.008881,-0.325897217,-0.0163597353
0.21627,215,232.682983,233.008881,-0.325897217,-0.0163597353
0.21811,216,232.682983,233.008865,-0.325881958,-0.0163597353
0.21813,217,232.682983,233.008881,-0.325897217,-0.0163597353
0.21936,218,232.682983,233.008881,-0.325897217,-0.0163597353
0.22120,219,232.682983,233.008881,-0.325897217,-0.0163597353
0.22121,220,232.682983,233.008881,-0.325897217,0
0.22304,221,232.682983,233.008881,-0.325897217,0
0.22307,222,232.682983,233.008881,-0.325897217,0
0.22427,223,232.682983,233.008881,-0.325897217,0
0.22613,224,232.682983,233.008881,-0.325897217,0
0.22618,225,232.682983,233.008881,-0.325897217,0
0.22736,226,232.682983,233.008881,-0.325897217,0
0.22920,227,232.682983,233.008881,-0.325897217,0
0.22922,228,232.682983,233.008881,-0.325897217,0
0.23100,229,232.682983,233.008881,-0.325897217,0
0.23102,230,232.682983,233.008881,-0.325897217,0
0.23227,231,232.682983,233.008881,-0.325897217,0
0.23425,232,232.682983,233.008881,-0.325897217,0
