t,n,A,B,C,D
0.00045,0,-0.00659023,-0.006670107,7.987721E-05,0
0.00228,1,-0.00659023,-0.006670107,7.987721E-05,0
0.00232,2,-0.00659023,-0.006670107,7.987721E-05,0
0.00354,3,-0.00659023,-0.006670107,7.987721E-05,0
0.00536,4,-0.00659023,-0.006670107,7.987721E-05,0
0.00540,5,-0.00659023,-0.006670107,7.987721E-05,0
0.00655,6,-0.00659023,-0.006670107,7.987721E-05,0
0.00839,7,-0.00659023,-0.006670107,7.987721E-05,0
0.00842,8,-0.00659023,-0.006670107,7.987721E-05,0
0.01021,9,-0.00659023,-0.006670107,7.987721E-05,0
0.01024,10,-0.00659023,-0.006670107,7.987721E-05,0
0.01155,11,-0.00659023,-0.006670107,7.987721E-05,0
0.01332,12,-0.00659023,-0.006670107,7.987721E-05,0
0.01334,13,-0.00659023,-0.006670107,7.987721E-05,0
0.01454,14,-0.00659023,-0.006670107,7.987721E-05,0
0.01640,15,-0.00659023,-0.006670107,7.987721E-05,0
0.01644,16,-0.00659023,-0.006670107,7.987721E-05,0
0.01824,17,-0.00659023,-0.006670107,7.987721E-05,0
0.01827,18,-0.00659023,-0.006670107,7.987721E-05,0
0.01947,19,-0.00659023,-0.006670107,7.987721E-05,0
0.02129,20,-0.00659023,-0.006670107,7.987721E-05,0
0.02131,21,-0.00659023,-0.006670107,7.987721E-05,0
0.02256,22,-0.00659023,-0.006670107,7.987721E-05,0
0.02437,23,-0.00659023,-0.006670107,7.987721E-05,0
0.02440,24,-0.00659023,-0.006670107,7.987721E-05,0
0.02621,25,-0.00659023,-0.006670107,7.987721E-05,0
0.02622,26,-0.00659023,-0.006670107,7.987721E-05,0
0.02751,27,-0.00659023,-0.006670107,7.987721E-05,0
0.02932,28,-0.00659023,-0.006670107,7.987721E-05,0
0.02934,29,-0.00659023,-0.006670107,7.987721E-05,0
0.03055,30,-0.00659023,-0.006670107,7.987721E-05,0
0.03239,31,-0.00659023,-0.006670107,7.987721E-05,0
0.03241,32,-0.00659023,-0.006670107,7.987721E-05,0
0.03441,33,-0.00659023,-0.006670107,7.987721E-05,0
0.03445,34,-0.00659023,-0.006670107,7.987721E-05,0
0.03554,35,-0.00659023,-0.006670107,7.987721E-05,0
0.03730,36,-0.00659023,-0.006670107,7.987721E-05,0
0.03731,37,-0.00659023,-0.006670107,7.987721E-05,0
0.03858,38,-0.00659023,-0.006670107,7.987721E-05,0
0.04040,39,-0.00659023,-0.006670107,7.987721E-05,0
0.04044,40,-0.00659023,-0.006670107,7.987721E-05,0
0.04223,41,-0.00659023,-0.006670107,7.987721E-05,0
0.04228,42,-0.00659023,-0.006670107,7.987721E-05,0
0.04347,43,-0.00659023,-0.006670107,7.987721E-05,0
0.04531,44,-0.00659023,-0.006670107,7.987721E-05,0
0.04534,45,-0.00659023,-0.006670107,7.987721E-05,0
0.04657,46,-0.00659023,-0.006670107,7.987721E-05,0
0.04836,47,-0.00659023,-0.006670107,7.987721E-05,0
0.04838,48,-0.00659023,-0.006670107,7.987721E-05,0
0.05026,49,-0.00659023,-0.006670107,7.987721E-05,0
0.05029,50,-0.00659023,-0.006670107,7.987721E-05,0
0.05150,51,-0.00659023,-0.006670107,7.987721E-05,0
0.05335,52,-0.00659023,-0.006670107,7.987721E-05,0
0.05339,53,-0.00659023,-0.006670107,7.987721E-05,0
0.05456,54,-0.00659023,-0.006670107,7.987721E-05,0
0.05637,55,-0.00659023,-0.006670107,7.987721E-05,0
0.05641,56,-0.00659023,-0.006670107,7.987721E-05,0
0.05822,57,-0.00659023,-0.006670107,7.987721E-05,0
0.05824,58,-0.00659023,-0.006670107,7.987721E-05,0
0.05947,59,-0.00659023,-0.006670107,7.987721E-05,0
0.06132,60,-0.00659023,-0.006670107,7.987721E-05,0
0.06135,61,-0.00659023,-0.006670107,7.987721E-05,0
0.06254,62,-0.00659023,-0.006670107,7.987721E-05,0
0.06439,63,-0.00659023,-0.006670107,7.987721E-05,0
0.06443,64,-0.00659023,-0.006670107,7.987721E-05,0
0.06620,65,-0.00659023,-0.006670107,7.987721E-05,0
0.06622,66,-0.00659023,-0.006670107,7.987721E-05,0
