t,n,A,B,C,D
0.00130,0,55.767807,55.98808,-0.220272064,-0.09270517
0.00293,1,55.767807,55.9879227,-0.220115662,-0.103611663
0.00476,2,55.767807,55.9878,-0.219993591,-0.114518143
0.00479,3,55.767807,55.98764,-0.219833374,-0.141784385
0.00603,4,55.767807,55.9874458,-0.219638824,-0.152690873
0.00784,5,55.767807,55.98724,-0.219432831,-0.185410336
0.00786,6,55.767807,55.9870071,-0.219200134,-0.207223326
0.00911,7,55.767807,55.986763,-0.218956,-0.218129814
0.00914,8,55.767807,55.98656,-0.218753815,-0.218129814
0.01093,9,55.767807,55.9863625,-0.21855545,-0.229036286
0.01276,10,55.767807,55.9861221,-0.218315125,-0.229036286
0.01277,11,55.767807,55.9859238,-0.21811676,-0.229036286
0.01401,12,55.767807,55.98572,-0.217914581,-0.218129814
0.01585,13,55.767807,55.98556,-0.217754364,-0.207223326
0.01587,14,55.767807,55.9853668,-0.217559814,-0.196316838
0.01712,15,55.767807,55.9852066,-0.2173996,-0.196316838
0.01714,16,55.767807,55.9850845,-0.217277527,-0.185410336
0.01894,17,55.767807,55.98493,-0.217121124,-0.16359736
0.02078,18,55.767807,55.9847679,-0.2169609,-0.16359736
0.02080,19,55.767807,55.9845657,-0.216758728,-0.16359736
0.02202,20,55.767807,55.9843674,-0.216560364,-0.174503848
0.02386,21,55.767807,55.98405,-0.216243744,-0.207223326
0.02387,22,55.767807,55.9837723,-0.215965271,-0.239942789
0.02510,23,55.767807,55.98341,-0.215602875,-0.289022
0.02514,24,55.767807,55.98301,-0.215202332,-0.332647949
0.02694,25,55.767807,55.98261,-0.214801788,-0.365367442
0.02879,26,55.767807,55.9822121,-0.21440506,-0.392633677
0.02882,27,55.767807,55.98177,-0.213962555,-0.414446652
0.03001,28,55.767807,55.9813728,-0.213565826,-0.42535314
0.03187,29,55.767807,55.98093,-0.213123322,-0.436259627
0.03189,30,55.767807,55.9805336,-0.2127266,-0.42535314
0.03314,31,55.767807,55.9801331,-0.21232605,-0.42535314
0.03319,32,55.767807,55.9797325,-0.2119255,-0.414446652
0.03493,33,55.767807,55.979332,-0.211524963,-0.403540134
0.03677,34,55.767807,55.97893,-0.21112442,-0.403540134
0.03679,35,55.767807,55.97853,-0.210723877,-0.403540134
0.03803,36,55.767807,55.978138,-0.210330963,-0.403540134
0.03985,37,55.767807,55.9777756,-0.209968567,-0.392633677
0.03987,38,55.767807,55.9776154,-0.20980835,-0.354460955
0.04111,39,55.767807,55.97746,-0.209651947,-0.2999285
0.04112,40,55.767807,55.9773369,-0.209529877,-0.229036286
0.04293,41,55.767807,55.9773369,-0.209529877,-0.152690873
0.04478,42,55.767807,55.9773369,-0.209529877,-0.103611663
0.04480,43,55.767807,55.977375,-0.209568024,-0.04907921
0.04601,44,55.767807,55.97746,-0.209651947,0
0.04786,45,55.767807,55.9775352,-0.209728241,0.03271947
0.04787,46,55.767807,55.9776154,-0.20980835,0.06543894
0.04912,47,55.767807,55.9777374,-0.20993042,0.07634544
0.04915,48,55.767807,55.9778137,-0.210006714,0.087251924
0.05095,49,55.767807,55.9778976,-0.210090637,0.087251924
0.05277,50,55.767807,55.9779778,-0.210170746,0.087251924
0.05279,51,55.767807,55.9780159,-0.2102089,0.06543894
0.05401,52,55.767807,55.9780159,-0.2102089,0.0545324534
0.05584,53,55.767807,55.9780159,-0.2102089,0.021812981
0.05586,54,55.767807,55.9780159,-0.2102089,0.0109064905
0.05711,55,55.767807,55.9779358,-0.210128784,-0.0163597353
0.05713,56,55.767807,55.97786,-0.21005249,-0.04907921
0.05894,57,55.767807,55.9777,-0.209892273,-0.08179868
0.06084,58,55.767807,55.9775772,-0.2097702,-0.114518143
0.06089,59,55.767807,55.97742,-0.2096138,-0.130877882
0.06202,60,55.767807,55.9773369,-0.209529877,-0.130877882
0.06388,61,55.767807,55.9772148,-0.2094078,-0.114518143
0.06390,62,55.767807,55.97714,-0.209331512,-0.114518143
0.06510,63,55.767807,55.97702,-0.209213257,-0.114518143
0.06511,64,55.767807,55.9769363,-0.209129333,-0.103611663
0.06692,65,55.767807,55.97686,-0.20905304,-0.103611663
0.06878,66,55.767807,55.976738,-0.208930969,-0.103611663
0.06880,67,55.767807,55.97662,-0.208812714,-0.103611663
0.07002,68,55.767807,55.9765358,-0.20872879,-0.103611663
0.07188,69,55.767807,55.97646,-0.2086525,-0.103611663
0.07193,70,55.767807,55.9763756,-0.208568573,-0.09270517
0.07312,71,55.767807,55.9762573,-0.208450317,-0.09270517
0.07314,72,55.767807,55.97618,-0.208374023,-0.09270517
0.07495,73,55.767807,55.9760971,-0.2082901,-0.09270517
0.07682,74,55.767807,55.97598,-0.208171844,-0.09270517
0.07684,75,55.767807,55.9758644,-0.2080574,-0.103611663
0.07803,76,55.767807,55.9756966,-0.207889557,-0.114518143
0.07985,77,55.767807,55.975502,-0.207695,-0.141784385
0.07987,78,55.767807,55.97538,-0.207572937,-0.16359736
0.08111,79,55.767807,55.97518,-0.207374573,-0.174503848
0.08115,80,55.767807,55.97494,-0.207134247,-0.196316838
0.08294,81,55.767807,55.9747429,-0.206935883,-0.196316838
0.08479,82,55.767807,55.9745026,-0.206695557,-0.207223326
0.08482,83,55.767807,55.974102,-0.206295013,-0.218129814
0.08606,84,55.767807,55.9739037,-0.206096649,-0.229036286
0.08791,85,55.767807,55.9737,-0.20589447,-0.229036286
0.08794,86,55.767807,55.9735031,-0.2056961,-0.218129814
0.08912,87,55.767807,55.9733849,-0.20557785,-0.196316838
0.08914,88,55.767807,55.9733,-0.205493927,-0.16359736
0.09094,89,55.767807,55.9732246,-0.205417633,-0.152690873
0.09281,90,55.767807,55.97314,-0.20533371,-0.103611663
0.09284,91,55.767807,55.9731026,-0.205295563,-0.09270517
0.09403,92,55.767807,55.9730225,-0.205215454,-0.07089219
0.09588,93,55.767807,55.9730225,-0.205215454,-0.0599856973
0.09591,94,55.767807,55.9729843,-0.2051773,-0.04907921
0.09711,95,55.767807,55.9729843,-0.2051773,-0.03817272
0.09712,96,55.767807,55.9729843,-0.2051773,-0.03817272
0.09897,97,55.767807,55.9729462,-0.20513916,-0.0163597353
0.10080,98,55.767807,55.9729462,-0.20513916,-0.0163597353
0.10082,99,55.767807,55.9729462,-0.20513916,-0.0163597353
0.10202,100,55.767807,55.9729462,-0.20513916,-0.0163597353
0.10385,101,55.767807,55.9729462,-0.20513916,-0.0163597353
0.10387,102,55.767807,55.9729462,-0.20513916,-0.0163597353
0.10513,103,55.767807,55.972908,-0.205101013,-0.0163597353
0.10516,104,55.767807,55.972908,-0.205101013,-0.0272662267
0.10696,105,55.767807,55.972908,-0.205101013,-0.0272662267
0.10880,106,55.767807,55.9728622,-0.205055237,-0.0272662267
0.10883,107,55.767807,55.9728622,-0.205055237,-0.0163597353
0.11001,108,55.767807,55.9728622,-0.205055237,-0.0163597353
0.11187,109,55.767807,55.9727859,-0.204978943,-0.0272662267
0.11190,110,55.767807,55.97274,-0.204933167,-0.03817272
0.11310,111,55.767807,55.97274,-0.204933167,-0.03817272
0.11311,112,55.767807,55.9726257,-0.204818726,-0.04907921
0.11494,113,55.767807,55.9725456,-0.204738617,-0.07089219
0.11679,114,55.767807,55.97246,-0.2046547,-0.07089219
0.11681,115,55.767807,55.9723473,-0.204540253,-0.09270517
0.11802,116,55.767807,55.9722252,-0.204418182,-0.103611663
0.11985,117,55.767807,55.9721069,-0.204299927,-0.103611663
0.11989,118,55.767807,55.9719467,-0.204139709,-0.130877882
