t,n,A,B,C,D
0.00230,0,36.64345,36.87451,-0.231060028,-0.08179868
0.00232,1,36.64345,36.87443,-0.230979919,-0.09270517
0.00408,2,36.64345,36.87419,-0.2307396,-0.130877882
0.00413,3,36.64345,36.87395,-0.230499268,-0.16359736
0.00528,4,36.64345,36.87371,-0.230258942,-0.207223326
0.00712,5,36.64345,36.87343,-0.229976654,-0.256302536
0.00714,6,36.64345,36.87307,-0.229618073,-0.289022
0.00838,7,36.64345,36.8727531,-0.229301453,-0.310834974
0.01021,8,36.64345,36.8724747,-0.22902298,-0.3217415
0.01024,9,36.64345,36.8721542,-0.228702545,-0.332647949
0.01204,10,36.64345,36.8718338,-0.228382111,-0.3217415
0.01206,11,36.64345,36.8715935,-0.228141785,-0.310834974
0.01332,12,36.64345,36.871315,-0.227863312,-0.289022
0.01514,13,36.64345,36.8711548,-0.2277031,-0.256302536
0.01515,14,36.64345,36.8710327,-0.227581024,-0.207223326
0.01653,15,36.64345,36.8709145,-0.227462769,-0.174503848
0.01824,16,36.64345,36.8708763,-0.227424622,-0.130877882
0.01828,17,36.64345,36.8707542,-0.227302551,-0.07089219
0.02006,18,36.64345,36.8707161,-0.2272644,-0.0599856973
0.02009,19,36.64345,36.8707161,-0.2272644,-0.0599856973
0.02129,20,36.64345,36.8706741,-0.227222443,-0.0599856973
0.02315,21,36.64345,36.870594,-0.227142334,-0.04907921
0.02318,22,36.64345,36.8704758,-0.227024078,-0.07089219
0.02438,23,36.64345,36.8704376,-0.226985931,-0.07089219
0.02620,24,36.64345,36.8703156,-0.226863861,-0.08179868
0.02622,25,36.64345,36.8702354,-0.226783752,-0.09270517
0.02806,26,36.64345,36.8700371,-0.226585388,-0.130877882
0.02807,27,36.64345,36.8697968,-0.226345062,-0.16359736
0.02928,28,36.64345,36.8696,-0.2261467,-0.196316838
0.03116,29,36.64345,36.8692741,-0.225822449,-0.239942789
0.03121,30,36.64345,36.8689575,-0.225505829,-0.267209023
0.03239,31,36.64345,36.8686371,-0.2251854,-0.2999285
0.03425,32,36.64345,36.86836,-0.224906921,-0.3217415
0.03428,33,36.64345,36.868,-0.22454834,-0.3217415
0.03609,34,36.64345,36.8677177,-0.224266052,-0.3217415
0.03613,35,36.64345,36.86744,-0.223987579,-0.310834974
0.03730,36,36.64345,36.86716,-0.2237091,-0.2999285
0.03913,37,36.64345,36.86692,-0.223468781,-0.2781155
0.03915,38,36.64345,36.866684,-0.223232269,-0.2781155
0.04038,39,36.64345,36.86648,-0.22303009,-0.256302536
0.04221,40,36.64345,36.8662033,-0.222751617,-0.256302536
0.04225,41,36.64345,36.86596,-0.222507477,-0.239942789
0.04406,42,36.64345,36.8657227,-0.222270966,-0.239942789
0.04409,43,36.64345,36.8654823,-0.22203064,-0.256302536
0.04529,44,36.64345,36.865242,-0.221790314,-0.256302536
0.04714,45,36.64345,36.8650055,-0.2215538,-0.256302536
0.04716,46,36.64345,36.8647232,-0.221271515,-0.267209023
0.04838,47,36.64345,36.8644867,-0.221035,-0.267209023
0.05025,48,36.64345,36.86421,-0.220756531,-0.267209023
0.05028,49,36.64345,36.864006,-0.220554352,-0.256302536
0.05206,50,36.64345,36.8638077,-0.220355988,-0.239942789
0.05208,51,36.64345,36.8636055,-0.220153809,-0.218129814
0.05329,52,36.64345,36.8634071,-0.219955444,-0.207223326
0.05515,53,36.64345,36.8632469,-0.219795227,-0.196316838
0.05518,54,36.64345,36.8630867,-0.21963501,-0.185410336
0.05638,55,36.64345,36.86289,-0.219436646,-0.185410336
0.05823,56,36.64345,36.86273,-0.219276428,-0.185410336
0.05825,57,36.64345,36.86253,-0.219078064,-0.196316838
0.06006,58,36.64345,36.8623276,-0.218875885,-0.196316838
0.06010,59,36.64345,36.86205,-0.218597412,-0.218129814
0.06131,60,36.64345,36.86169,-0.218238831,-0.256302536
0.06317,61,36.64345,36.8613663,-0.217914581,-0.289022
0.06319,62,36.64345,36.86105,-0.217597961,-0.3217415
0.06438,63,36.64345,36.86077,-0.217319489,-0.3217415
0.06636,64,36.64345,36.86045,-0.216999054,-0.3217415
0.06641,65,36.64345,36.86017,-0.216716766,-0.310834974
0.06804,66,36.64345,36.85989,-0.2164383,-0.2999285
0.06806,67,36.64345,36.8596535,-0.216201782,-0.289022
0.06928,68,36.64345,36.8594933,-0.216041565,-0.239942789
0.07114,69,36.64345,36.85933,-0.215877533,-0.218129814
0.07117,70,36.64345,36.8592148,-0.215763092,-0.196316838
0.07238,71,36.64345,36.8590126,-0.215560913,-0.16359736
0.07423,72,36.64345,36.85889,-0.215438843,-0.152690873
0.07425,73,36.64345,36.8587761,-0.2153244,-0.152690873
0.07607,74,36.64345,36.8585739,-0.215122223,-0.152690873
0.07613,75,36.64345,36.85845,-0.215000153,-0.152690873
0.07728,76,36.64345,36.8582954,-0.21484375,-0.16359736
0.07920,77,36.64345,36.85813,-0.214679718,-0.16359736
0.07923,78,36.64345,36.8579369,-0.214485168,-0.174503848
0.08038,79,36.64345,36.8577728,-0.214321136,-0.174503848
