t,n,A,B,C,D
0.00115,0,700.283142,700.6407,-0.357543945,-0.03817272
0.00233,1,700.283142,700.6407,-0.357543945,-0.0272662267
0.00237,2,700.283142,700.640564,-0.357421875,-0.03817272
0.00423,3,700.283142,700.640564,-0.357421875,-0.03817272
0.00601,4,700.283142,700.640564,-0.357421875,-0.03817272
0.00605,5,700.283142,700.640564,-0.357421875,-0.03817272
0.00721,6,700.283142,700.640564,-0.357421875,-0.03817272
0.00906,7,700.283142,700.640564,-0.357421875,-0.03817272
0.00910,8,700.283142,700.640442,-0.3572998,-0.03817272
0.01029,9,700.283142,700.6404,-0.35723877,-0.0272662267
0.01033,10,700.283142,700.6404,-0.35723877,-0.0272662267
0.01218,11,700.283142,700.6404,-0.35723877,-0.0272662267
0.01399,12,700.283142,700.6404,-0.35723877,-0.0272662267
0.01402,13,700.283142,700.6404,-0.35723877,-0.0272662267
0.01521,14,700.283142,700.6404,-0.35723877,-0.0272662267
0.01714,15,700.283142,700.640259,-0.3571167,-0.0272662267
0.01719,16,700.283142,700.6402,-0.357055664,-0.0272662267
0.01847,17,700.283142,700.6402,-0.357055664,-0.0272662267
0.01850,18,700.283142,700.6402,-0.357055664,-0.0272662267
0.02020,19,700.283142,700.6402,-0.357055664,-0.0272662267
0.02198,20,700.283142,700.6402,-0.357055664,-0.0272662267
0.02200,21,700.283142,700.6402,-0.357055664,-0.0272662267
0.02321,22,700.283142,700.640137,-0.356994629,-0.0272662267
0.02505,23,700.283142,700.64,-0.356872559,-0.03817272
0.02507,24,700.283142,700.64,-0.356872559,-0.04907921
0.02631,25,700.283142,700.6399,-0.3567505,-0.04907921
0.02633,26,700.283142,700.6399,-0.3567505,-0.07089219
0.02820,27,700.283142,700.6397,-0.356567383,-0.08179868
0.03000,28,700.283142,700.639648,-0.356506348,-0.09270517
0.03003,29,700.283142,700.6396,-0.3564453,-0.103611663
0.03123,30,700.283142,700.6394,-0.3562622,-0.114518143
0.03308,31,700.283142,700.6393,-0.356140137,-0.141784385
0.03310,32,700.283142,700.639038,-0.355896,-0.152690873
0.03429,33,700.283142,700.638855,-0.3557129,-0.174503848
0.03431,34,700.283142,700.6386,-0.35546875,-0.207223326
0.03622,35,700.283142,700.6383,-0.355163574,-0.218129814
0.03798,36,700.283142,700.6381,-0.354980469,-0.256302536
0.03800,37,700.283142,700.6378,-0.3546753,-0.2781155
0.03924,38,700.283142,700.6375,-0.354370117,-0.2781155
0.04106,39,700.283142,700.6372,-0.354064941,-0.2781155
0.04109,40,700.283142,700.637,-0.353881836,-0.2781155
0.04229,41,700.283142,700.636658,-0.353515625,-0.2781155
0.04230,42,700.283142,700.6365,-0.35333252,-0.2781155
0.04420,43,700.283142,700.6362,-0.353088379,-0.2781155
0.04595,44,700.283142,700.6359,-0.3527832,-0.2781155
0.04597,45,700.283142,700.6357,-0.352539063,-0.267209023
0.04721,46,700.283142,700.6355,-0.352355957,-0.239942789
0.04907,47,700.283142,700.635254,-0.352111816,-0.239942789
0.04909,48,700.283142,700.6351,-0.3519287,-0.229036286
0.05029,49,700.283142,700.6346,-0.35144043,-0.229036286
0.05030,50,700.283142,700.6344,-0.351257324,-0.229036286
0.05220,51,700.283142,700.634155,-0.351013184,-0.239942789
0.05396,52,700.283142,700.63385,-0.350708,-0.256302536
0.05398,53,700.283142,700.633667,-0.3505249,-0.256302536
0.05520,54,700.283142,700.6333,-0.3501587,-0.256302536
0.05707,55,700.283142,700.6332,-0.350036621,-0.256302536
0.05710,56,700.283142,700.633,-0.349853516,-0.229036286
0.05829,57,700.283142,700.6329,-0.349731445,-0.196316838
0.05830,58,700.283142,700.6329,-0.349731445,-0.16359736
0.06021,59,700.283142,700.6327,-0.34954834,-0.114518143
0.06198,60,700.283142,700.632751,-0.349609375,-0.08179868
0.06203,61,700.283142,700.6327,-0.34954834,-0.0599856973
0.06322,62,700.283142,700.632751,-0.349609375,-0.0272662267
0.06506,63,700.283142,700.632751,-0.349609375,-0.0163597353
0.06509,64,700.283142,700.6329,-0.349731445,0.0109064905
0.06629,65,700.283142,700.6329,-0.349731445,0.0109064905
0.06631,66,700.283142,700.6329,-0.349731445,0.021812981
0.06857,67,700.283142,700.6329,-0.349731445,0.03271947
0.07000,68,700.283142,700.6329,-0.349731445,0.0109064905
0.07006,69,700.283142,700.6329,-0.349731445,0.0109064905
0.07121,70,700.283142,700.6329,-0.349731445,0.0109064905
0.07304,71,700.283142,700.6329,-0.349731445,-0.0163597353
0.07305,72,700.283142,700.6329,-0.349731445,-0.0163597353
0.07433,73,700.283142,700.6329,-0.349731445,-0.0163597353
0.07435,74,700.283142,700.632751,-0.349609375,-0.03817272
0.07619,75,700.283142,700.6327,-0.34954834,-0.03817272
0.07796,76,700.283142,700.6327,-0.34954834,-0.04907921
0.07797,77,700.283142,700.6326,-0.3494873,-0.0599856973
0.07923,78,700.283142,700.632568,-0.34942627,-0.0599856973
0.08107,79,700.283142,700.632446,-0.3493042,-0.08179868
0.08109,80,700.283142,700.6324,-0.349243164,-0.08179868
0.08230,81,700.283142,700.6324,-0.349243164,-0.08179868
0.08232,82,700.283142,700.6323,-0.349182129,-0.08179868
0.08422,83,700.283142,700.6322,-0.349060059,-0.08179868
0.08597,84,700.283142,700.6321,-0.348938,-0.08179868
0.08601,85,700.283142,700.6321,-0.348938,-0.09270517
0.08722,86,700.283142,700.6319,-0.348754883,-0.103611663
0.08908,87,700.283142,700.6318,-0.3486328,-0.103611663
0.08912,88,700.283142,700.6316,-0.3484497,-0.130877882
0.09029,89,700.283142,700.6315,-0.348327637,-0.141784385
0.09031,90,700.283142,700.6312,-0.3480835,-0.16359736
0.09224,91,700.283142,700.6309,-0.34777832,-0.185410336
0.09399,92,700.283142,700.6308,-0.34765625,-0.207223326
0.09402,93,700.283142,700.6305,-0.347351074,-0.239942789
0.09522,94,700.283142,700.6301,-0.346984863,-0.256302536
0.09708,95,700.283142,700.629944,-0.346801758,-0.289022
0.09711,96,700.283142,700.6296,-0.346435547,-0.289022
0.09834,97,700.283142,700.629333,-0.3461914,-0.289022
0.09837,98,700.283142,700.629,-0.34588623,-0.2999285
0.10019,99,700.283142,700.6287,-0.345581055,-0.289022
0.10196,100,700.283142,700.62854,-0.345397949,-0.289022
0.10198,101,700.283142,700.628235,-0.345092773,-0.2781155
0.10326,102,700.283142,700.627869,-0.344726563,-0.2781155
0.10506,103,700.283142,700.627563,-0.3444214,-0.289022
0.10509,104,700.283142,700.627258,-0.3441162,-0.2999285
0.10630,105,700.283142,700.6269,-0.34375,-0.332647949
0.10631,106,700.283142,700.626465,-0.343322754,-0.343554467
0.10824,107,700.283142,700.626038,-0.3428955,-0.3817272
0.10994,108,700.283142,700.6257,-0.3425293,-0.403540134
0.10996,109,700.283142,700.6253,-0.3421631,-0.414446652
0.11121,110,700.283142,700.6249,-0.34173584,-0.414446652
0.11307,111,700.283142,700.624451,-0.3413086,-0.42535314
0.11310,112,700.283142,700.6241,-0.340942383,-0.414446652
0.11428,113,700.283142,700.623657,-0.340515137,-0.403540134
0.11430,114,700.283142,700.6232,-0.3400879,-0.403540134
0.11621,115,700.283142,700.6229,-0.3397827,-0.392633677
0.11793,116,700.283142,700.6225,-0.339355469,-0.403540134
0.11794,117,700.283142,700.6221,-0.338928223,-0.414446652
0.11922,118,700.283142,700.6217,-0.338562,-0.42535314
0.12103,119,700.283142,700.6213,-0.338134766,-0.42535314
0.12107,120,700.283142,700.62085,-0.33770752,-0.414446652
0.12229,121,700.283142,700.620544,-0.337402344,-0.392633677
0.12230,122,700.283142,700.6203,-0.3371582,-0.354460955
0.12420,123,700.283142,700.6201,-0.3369751,-0.3217415
0.12597,124,700.283142,700.6199,-0.336730957,-0.267209023
0.12599,125,700.283142,700.619751,-0.3366089,-0.229036286
0.12721,126,700.283142,700.619568,-0.336425781,-0.207223326
0.12903,127,700.283142,700.6193,-0.336181641,-0.196316838
0.12906,128,700.283142,700.6192,-0.33605957,-0.185410336
0.13030,129,700.283142,700.618958,-0.33581543,-0.174503848
0.13031,130,700.283142,700.6188,-0.335632324,-0.185410336
0.13223,131,700.283142,700.618652,-0.335510254,-0.185410336
0.13396,132,700.283142,700.6184,-0.3352661,-0.196316838
0.13398,133,700.283142,700.618164,-0.335021973,-0.207223326
0.13525,134,700.283142,700.618042,-0.3348999,-0.207223326
0.13708,135,700.283142,700.617859,-0.3347168,-0.218129814
0.13711,136,700.283142,700.6176,-0.334472656,-0.207223326
0.13838,137,700.283142,700.617432,-0.334289551,-0.196316838
0.13841,138,700.283142,700.6174,-0.334228516,-0.185410336
0.14023,139,700.283142,700.6173,-0.33416748,-0.152690873
0.14197,140,700.283142,700.6172,-0.3340454,-0.130877882
0.14199,141,700.283142,700.6172,-0.3340454,-0.09270517
0.14323,142,700.283142,700.6172,-0.3340454,-0.0599856973
0.14504,143,700.283142,700.6172,-0.3340454,-0.04907921
0.14506,144,700.283142,700.6172,-0.3340454,-0.0163597353
0.14629,145,700.283142,700.6172,-0.3340454,0
0.14631,146,700.283142,700.6172,-0.3340454,0.0109064905
0.14820,147,700.283142,700.6173,-0.33416748,0.021812981
0.14994,148,700.283142,700.6173,-0.33416748,0.0109064905
0.14997,149,700.283142,700.6173,-0.33416748,0.0109064905
0.15121,150,700.283142,700.6174,-0.334228516,0.0109064905
0.15305,151,700.283142,700.6173,-0.33416748,0
0.15306,152,700.283142,700.6173,-0.33416748,-0.0163597353
0.15431,153,700.283142,700.6172,-0.3340454,-0.0272662267
0.15433,154,700.283142,700.6171,-0.333984375,-0.04907921
0.15619,155,700.283142,700.617065,-0.33392334,-0.0599856973
0.15798,156,700.283142,700.616943,-0.33380127,-0.08179868
0.15800,157,700.283142,700.6169,-0.333740234,-0.08179868
0.15924,158,700.283142,700.6169,-0.333740234,-0.08179868
0.16103,159,700.283142,700.61676,-0.333618164,-0.08179868
0.16105,160,700.283142,700.61676,-0.333618164,-0.08179868
0.16230,161,700.283142,700.616638,-0.3334961,-0.08179868
0.16232,162,700.283142,700.6165,-0.333374023,-0.07089219
0.16421,163,700.283142,700.6165,-0.333374023,-0.07089219
0.16593,164,700.283142,700.6164,-0.333251953,-0.0599856973
0.16594,165,700.283142,700.6164,-0.333251953,-0.0599856973
0.16725,166,700.283142,700.616333,-0.333190918,-0.0599856973
0.16906,167,700.283142,700.6162,-0.333068848,-0.07089219
0.16908,168,700.283142,700.6162,-0.333068848,-0.08179868
0.17033,169,700.283142,700.6161,-0.332946777,-0.08179868
0.17037,170,700.283142,700.6159,-0.332763672,-0.09270517
0.17224,171,700.283142,700.615845,-0.332702637,-0.103611663
0.17395,172,700.283142,700.615662,-0.332519531,-0.114518143
0.17397,173,700.283142,700.6154,-0.3322754,-0.141784385
0.17522,174,700.283142,700.6153,-0.33215332,-0.16359736
0.17702,175,700.283142,700.6151,-0.3319702,-0.185410336
0.17704,176,700.283142,700.614868,-0.331726074,-0.196316838
0.17831,177,700.283142,700.6147,-0.331542969,-0.207223326
0.17832,178,700.283142,700.6144,-0.3312378,-0.218129814
0.18020,179,700.283142,700.614136,-0.330993652,-0.229036286
0.18194,180,700.283142,700.614,-0.330871582,-0.239942789
0.18196,181,700.283142,700.6137,-0.3305664,-0.239942789
0.18321,182,700.283142,700.6135,-0.3303833,-0.239942789
0.18511,183,700.283142,700.6133,-0.33013916,-0.239942789
0.18516,184,700.283142,700.613037,-0.32989502,-0.229036286
0.18633,185,700.283142,700.612854,-0.3297119,-0.229036286
0.18635,186,700.283142,700.6126,-0.329467773,-0.218129814
0.18819,187,700.283142,700.6124,-0.329284668,-0.218129814
0.18994,188,700.283142,700.612244,-0.329101563,-0.207223326
0.18995,189,700.283142,700.612061,-0.328918457,-0.207223326
0.19122,190,700.283142,700.6119,-0.328735352,-0.207223326
0.19303,191,700.283142,700.611633,-0.3284912,-0.218129814
0.19304,192,700.283142,700.6112,-0.328063965,-0.239942789
0.19429,193,700.283142,700.6108,-0.327636719,-0.2781155
0.19431,194,700.283142,700.6105,-0.327331543,-0.3217415
0.19618,195,700.283142,700.6101,-0.326965332,-0.365367442
0.19794,196,700.283142,700.6097,-0.3265381,-0.3817272
0.19796,197,700.283142,700.6094,-0.3262329,-0.3817272
0.19923,198,700.283142,700.6091,-0.325927734,-0.3817272
0.20106,199,700.283142,700.608765,-0.325622559,-0.354460955
0.20108,200,700.283142,700.6084,-0.325256348,-0.343554467
0.20232,201,700.283142,700.6081,-0.324951172,-0.332647949
0.20236,202,700.283142,700.6078,-0.324646,-0.3217415
0.20422,203,700.283142,700.6074,-0.3242798,-0.3217415
0.20596,204,700.283142,700.6071,-0.3239746,-0.3217415
0.20598,205,700.283142,700.6068,-0.323669434,-0.3217415
0.20721,206,700.283142,700.6065,-0.323364258,-0.3217415
0.20904,207,700.283142,700.606262,-0.323120117,-0.310834974
0.20905,208,700.283142,700.606,-0.322875977,-0.2999285
0.21030,209,700.283142,700.6058,-0.322631836,-0.2781155
0.21031,210,700.283142,700.6055,-0.3223877,-0.239942789
0.21217,211,700.283142,700.605469,-0.32232666,-0.218129814
0.21394,212,700.283142,700.6053,-0.322143555,-0.196316838
0.21395,213,700.283142,700.605164,-0.322021484,-0.185410336
0.21525,214,700.283142,700.605042,-0.3218994,-0.16359736
0.21703,215,700.283142,700.6049,-0.321777344,-0.16359736
0.21705,216,700.283142,700.604736,-0.321594238,-0.141784385
0.21852,217,700.283142,700.6046,-0.321472168,-0.141784385
0.21856,218,700.283142,700.604431,-0.321289063,-0.152690873
0.22020,219,700.283142,700.6043,-0.321167,-0.152690873
0.22195,220,700.283142,700.604065,-0.320922852,-0.16359736
0.22197,221,700.283142,700.6039,-0.320739746,-0.185410336
0.22321,222,700.283142,700.6035,-0.320373535,-0.218129814
0.22505,223,700.283142,700.603149,-0.320007324,-0.256302536
0.22507,224,700.283142,700.6028,-0.3196411,-0.2999285
0.22629,225,700.283142,700.6025,-0.319335938,-0.332647949
0.22631,226,700.283142,700.6021,-0.318969727,-0.365367442
0.22817,227,700.283142,700.6017,-0.31854248,-0.3817272
0.22994,228,700.283142,700.601257,-0.318115234,-0.403540134
0.22995,229,700.283142,700.6007,-0.317565918,-0.436259627
0.23121,230,700.283142,700.6003,-0.317138672,-0.447166115
0.23307,231,700.283142,700.5998,-0.3166504,-0.479885578
0.23310,232,700.283142,700.5991,-0.315979,-0.507151842
0.23431,233,700.283142,700.5987,-0.315551758,-0.5289648
0.23433,234,700.283142,700.598145,-0.315002441,-0.5507778
0.23618,235,700.283142,700.5976,-0.314453125,-0.5398713
0.23794,236,700.283142,700.5972,-0.3140869,-0.5289648
0.23796,237,700.283142,700.5969,-0.313781738,-0.479885578
0.23919,238,700.283142,700.5966,-0.313476563,-0.42535314
0.24105,239,700.283142,700.596436,-0.313293457,-0.343554467
0.24108,240,700.283142,700.596252,-0.313110352,-0.2781155
0.24232,241,700.283142,700.596069,-0.312927246,-0.218129814
0.24234,242,700.283142,700.596069,-0.312927246,-0.16359736
0.24417,243,700.283142,700.595947,-0.312805176,-0.141784385
0.24595,244,700.283142,700.595947,-0.312805176,-0.114518143
0.24599,245,700.283142,700.595764,-0.31262207,-0.08179868
0.24721,246,700.283142,700.595764,-0.31262207,-0.08179868
0.24903,247,700.283142,700.595642,-0.3125,-0.08179868
0.24904,248,700.283142,700.5955,-0.31237793,-0.08179868
0.25029,249,700.283142,700.595337,-0.312194824,-0.114518143
0.25031,250,700.283142,700.595154,-0.312011719,-0.114518143
0.25218,251,700.283142,700.595,-0.3118286,-0.130877882
0.25398,252,700.283142,700.5949,-0.311767578,-0.141784385
0.25402,253,700.283142,700.594849,-0.311706543,-0.141784385
0.25521,254,700.283142,700.594666,-0.311523438,-0.141784385
0.25703,255,700.283142,700.594543,-0.311401367,-0.141784385
0.25705,256,700.283142,700.59436,-0.311218262,-0.152690873
0.25829,257,700.283142,700.594238,-0.3110962,-0.16359736
0.25830,258,700.283142,700.594,-0.310852051,-0.16359736
0.26016,259,700.283142,700.5939,-0.31072998,-0.16359736
0.26195,260,700.283142,700.5939,-0.31072998,-0.141784385
0.26196,261,700.283142,700.5937,-0.310546875,-0.114518143
0.26320,262,700.283142,700.5937,-0.310546875,-0.103611663
0.26502,263,700.283142,700.5937,-0.310546875,-0.07089219
0.26503,264,700.283142,700.5936,-0.31048584,-0.07089219
0.26629,265,700.283142,700.593567,-0.3104248,-0.0599856973
0.26631,266,700.283142,700.593567,-0.3104248,-0.04907921
0.26850,267,700.283142,700.593567,-0.3104248,-0.03817272
0.26998,268,700.283142,700.593445,-0.310302734,-0.03817272
0.27000,269,700.283142,700.5934,-0.3102417,-0.03817272
0.27122,270,700.283142,700.5934,-0.3102417,-0.04907921
0.27303,271,700.283142,700.5934,-0.3102417,-0.04907921
0.27305,272,700.283142,700.593262,-0.310119629,-0.0599856973
0.27429,273,700.283142,700.593262,-0.310119629,-0.0599856973
0.27430,274,700.283142,700.59314,-0.309997559,-0.0599856973
0.27618,275,700.283142,700.593,-0.3098755,-0.08179868
0.27795,276,700.283142,700.5929,-0.309753418,-0.09270517
0.27796,277,700.283142,700.5927,-0.3095703,-0.114518143
0.27921,278,700.283142,700.5926,-0.309448242,-0.141784385
0.28105,279,700.283142,700.592346,-0.3092041,-0.152690873
0.28108,280,700.283142,700.5921,-0.308959961,-0.174503848
0.28228,281,700.283142,700.592,-0.3088379,-0.185410336
0.28230,282,700.283142,700.5916,-0.30847168,-0.218129814
0.28417,283,700.283142,700.5915,-0.3083496,-0.229036286
0.28596,284,700.283142,700.5912,-0.308044434,-0.256302536
0.28598,285,700.283142,700.5909,-0.307739258,-0.2781155
0.28721,286,700.283142,700.5906,-0.307434082,-0.2781155
0.28907,287,700.283142,700.590332,-0.307189941,-0.289022
0.28910,288,700.283142,700.590149,-0.307006836,-0.2781155
0.29029,289,700.283142,700.5899,-0.3067627,-0.267209023
0.29031,290,700.283142,700.589661,-0.306518555,-0.256302536
0.29219,291,700.283142,700.589355,-0.306213379,-0.239942789
0.29397,292,700.283142,700.589233,-0.3060913,-0.229036286
0.29398,293,700.283142,700.58905,-0.3059082,-0.207223326
0.29520,294,700.283142,700.5889,-0.305786133,-0.196316838
0.29705,295,700.283142,700.5888,-0.305664063,-0.174503848
0.29707,296,700.283142,700.5887,-0.305542,-0.152690873
0.29829,297,700.283142,700.58844,-0.305297852,-0.16359736
