t,n,A,B,C,D
0.00102,0,182.156158,182.554886,-0.398727417,-0.03817272
0.00269,1,182.156158,182.55484,-0.398681641,-0.03817272
0.00462,2,182.156158,182.5548,-0.398635864,-0.03817272
0.00465,3,182.156158,182.5548,-0.398635864,-0.03817272
0.00577,4,182.156158,182.554764,-0.398605347,-0.03817272
0.00763,5,182.156158,182.554718,-0.39855957,-0.03817272
0.00766,6,182.156158,182.554718,-0.39855957,-0.0272662267
0.00884,7,182.156158,182.554688,-0.398529053,-0.0272662267
0.00885,8,182.156158,182.554688,-0.398529053,-0.0272662267
0.01073,9,182.156158,182.554611,-0.398452759,-0.03817272
0.01257,10,182.156158,182.55452,-0.3983612,-0.04907921
0.01260,11,182.156158,182.554367,-0.398208618,-0.07089219
0.01376,12,182.156158,182.554276,-0.398117065,-0.08179868
0.01559,13,182.156158,182.5542,-0.398040771,-0.09270517
0.01563,14,182.156158,182.5541,-0.39793396,-0.103611663
0.01684,15,182.156158,182.553925,-0.3977661,-0.103611663
0.01686,16,182.156158,182.5538,-0.397644043,-0.130877882
0.01868,17,182.156158,182.55365,-0.397491455,-0.141784385
0.02059,18,182.156158,182.5535,-0.397338867,-0.152690873
0.02061,19,182.156158,182.553284,-0.397125244,-0.174503848
0.02176,20,182.156158,182.553085,-0.39692688,-0.185410336
0.02360,21,182.156158,182.552841,-0.396682739,-0.196316838
0.02362,22,182.156158,182.552658,-0.396499634,-0.207223326
0.02483,23,182.156158,182.552414,-0.3962555,-0.218129814
0.02486,24,182.156158,182.5522,-0.39604187,-0.229036286
0.02671,25,182.156158,182.552,-0.3958435,-0.218129814
0.02859,26,182.156158,182.551849,-0.395690918,-0.218129814
0.02860,27,182.156158,182.551682,-0.395523071,-0.196316838
0.02975,28,182.156158,182.551575,-0.39541626,-0.185410336
0.03164,29,182.156158,182.5515,-0.395339966,-0.16359736
0.03167,30,182.156158,182.551437,-0.395278931,-0.130877882
0.03283,31,182.156158,182.5514,-0.3952484,-0.09270517
0.03285,32,182.156158,182.5514,-0.3952484,-0.0599856973
0.03479,33,182.156158,182.551437,-0.395278931,-0.0272662267
