t,n,A,B,C,D
0.00025,0,132.081619,132.305725,-0.224105835,-0.0599856973
0.00212,1,132.081619,132.3057,-0.224075317,-0.04907921
0.00215,2,132.081619,132.3056,-0.223983765,-0.0599856973
0.00331,3,132.081619,132.305573,-0.223953247,-0.0599856973
0.00518,4,132.081619,132.3055,-0.223876953,-0.07089219
0.00521,5,132.081619,132.30542,-0.223800659,-0.07089219
0.00637,6,132.081619,132.305374,-0.223754883,-0.07089219
0.00639,7,132.081619,132.305283,-0.22366333,-0.07089219
0.00820,8,132.081619,132.305176,-0.223556519,-0.08179868
0.01001,9,132.081619,132.305038,-0.223419189,-0.09270517
0.01003,10,132.081619,132.304932,-0.223312378,-0.114518143
0.01128,11,132.081619,132.304764,-0.223144531,-0.141784385
0.01311,12,132.081619,132.304611,-0.222991943,-0.152690873
0.01314,13,132.081619,132.304443,-0.2228241,-0.152690873
0.01438,14,132.081619,132.304367,-0.2227478,-0.152690873
0.01440,15,132.081619,132.304214,-0.222595215,-0.141784385
0.01619,16,132.081619,132.3041,-0.222473145,-0.141784385
0.01801,17,132.081619,132.30397,-0.222351074,-0.130877882
0.01804,18,132.081619,132.303848,-0.222229,-0.130877882
0.01950,19,132.081619,132.303818,-0.222198486,-0.114518143
0.02114,20,132.081619,132.303772,-0.22215271,-0.09270517
0.02117,21,132.081619,132.303772,-0.22215271,-0.0599856973
0.02238,22,132.081619,132.303772,-0.22215271,-0.03817272
0.02241,23,132.081619,132.303818,-0.222198486,-0.0272662267
0.02420,24,132.081619,132.303772,-0.22215271,-0.0163597353
0.02605,25,132.081619,132.303818,-0.222198486,0
0.02608,26,132.081619,132.303848,-0.222229,0.0109064905
0.02729,27,132.081619,132.303848,-0.222229,0.0109064905
0.02910,28,132.081619,132.3039,-0.22227478,0.021812981
0.02912,29,132.081619,132.3039,-0.22227478,0.0109064905
0.03038,30,132.081619,132.3039,-0.22227478,0
0.03041,31,132.081619,132.3039,-0.22227478,0.0109064905
0.03219,32,132.081619,132.3039,-0.22227478,0
0.03401,33,132.081619,132.3039,-0.22227478,0
0.03403,34,132.081619,132.3039,-0.22227478,0
0.03528,35,132.081619,132.3039,-0.22227478,0
0.03718,36,132.081619,132.3039,-0.22227478,0
0.03721,37,132.081619,132.3039,-0.22227478,0
0.03839,38,132.081619,132.303848,-0.222229,-0.0163597353
0.03843,39,132.081619,132.303848,-0.222229,-0.0272662267
0.04022,40,132.081619,132.303818,-0.222198486,-0.0272662267
0.04204,41,132.081619,132.303818,-0.222198486,-0.0272662267
0.04207,42,132.081619,132.303818,-0.222198486,-0.0272662267
0.04328,43,132.081619,132.303818,-0.222198486,-0.0163597353
0.04510,44,132.081619,132.303772,-0.22215271,-0.0272662267
0.04511,45,132.081619,132.303741,-0.222122192,-0.0272662267
0.04636,46,132.081619,132.303741,-0.222122192,-0.0272662267
0.04638,47,132.081619,132.3037,-0.222076416,-0.03817272
0.04819,48,132.081619,132.303665,-0.2220459,-0.03817272
0.05003,49,132.081619,132.303665,-0.2220459,-0.03817272
0.05005,50,132.081619,132.3036,-0.221984863,-0.0272662267
0.05129,51,132.081619,132.3036,-0.221984863,-0.0272662267
0.05315,52,132.081619,132.3036,-0.221984863,-0.0272662267
0.05319,53,132.081619,132.3036,-0.221984863,-0.0163597353
0.05448,54,132.081619,132.3036,-0.221984863,-0.0163597353
0.05450,55,132.081619,132.3036,-0.221984863,0
0.05621,56,132.081619,132.3036,-0.221984863,-0.0163597353
0.05806,57,132.081619,132.3036,-0.221984863,0
0.05809,58,132.081619,132.3036,-0.221984863,0
0.05927,59,132.081619,132.3036,-0.221984863,0
0.06111,60,132.081619,132.3036,-0.221984863,0
0.06114,61,132.081619,132.3036,-0.221984863,0
0.06236,62,132.081619,132.3036,-0.221984863,0
0.06239,63,132.081619,132.3036,-0.221984863,0
0.06419,64,132.081619,132.3036,-0.221984863,0
0.06607,65,132.081619,132.3036,-0.221984863,0
0.06610,66,132.081619,132.3036,-0.221984863,0
0.06728,67,132.081619,132.3036,-0.221984863,0
0.06928,68,132.081619,132.3036,-0.221984863,0
0.06933,69,132.081619,132.3036,-0.221984863,0
0.07041,70,132.081619,132.3036,-0.221984863,0
0.07045,71,132.081619,132.303574,-0.221954346,-0.0163597353
0.07222,72,132.081619,132.303574,-0.221954346,-0.0163597353
0.07403,73,132.081619,132.303528,-0.221908569,-0.0272662267
0.07405,74,132.081619,132.303528,-0.221908569,-0.0272662267
0.07528,75,132.081619,132.303528,-0.221908569,-0.0272662267
0.07710,76,132.081619,132.3035,-0.221878052,-0.0272662267
0.07711,77,132.081619,132.3035,-0.221878052,-0.0163597353
0.07837,78,132.081619,132.3035,-0.221878052,-0.0163597353
0.07839,79,132.081619,132.3035,-0.221878052,-0.0163597353
0.08019,80,132.081619,132.303452,-0.221832275,-0.0163597353
0.08202,81,132.081619,132.3035,-0.221878052,-0.0163597353
0.08204,82,132.081619,132.303452,-0.221832275,-0.0163597353
0.08329,83,132.081619,132.3035,-0.221878052,0
0.08515,84,132.081619,132.3035,-0.221878052,0
0.08518,85,132.081619,132.3035,-0.221878052,0
0.08644,86,132.081619,132.3035,-0.221878052,0
0.08647,87,132.081619,132.3035,-0.221878052,0
0.08820,88,132.081619,132.3035,-0.221878052,0
0.09006,89,132.081619,132.3035,-0.221878052,0
0.09009,90,132.081619,132.3035,-0.221878052,0
0.09131,91,132.081619,132.3035,-0.221878052,0
0.09314,92,132.081619,132.3035,-0.221878052,0
0.09317,93,132.081619,132.3035,-0.221878052,0
0.09437,94,132.081619,132.3035,-0.221878052,0
0.09440,95,132.081619,132.3035,-0.221878052,0
0.09620,96,132.081619,132.3035,-0.221878052,0
0.09802,97,132.081619,132.3035,-0.221878052,0
0.09804,98,132.081619,132.3035,-0.221878052,0
0.09927,99,132.081619,132.3035,-0.221878052,0
0.10112,100,132.081619,132.3035,-0.221878052,0
0.10114,101,132.081619,132.3035,-0.221878052,0
0.10237,102,132.081619,132.3035,-0.221878052,0
0.10240,103,132.081619,132.3035,-0.221878052,0
0.10420,104,132.081619,132.3035,-0.221878052,0
0.10604,105,132.081619,132.3035,-0.221878052,0
0.10608,106,132.081619,132.303452,-0.221832275,0
0.10727,107,132.081619,132.303452,-0.221832275,-0.0163597353
0.10912,108,132.081619,132.303452,-0.221832275,-0.0163597353
0.10913,109,132.081619,132.303421,-0.221801758,-0.0272662267
0.11038,110,132.081619,132.303421,-0.221801758,-0.0272662267
0.11039,111,132.081619,132.303421,-0.221801758,-0.0163597353
0.11220,112,132.081619,132.303375,-0.221755981,-0.0163597353
0.11404,113,132.081619,132.303375,-0.221755981,-0.0163597353
0.11406,114,132.081619,132.303375,-0.221755981,-0.0163597353
0.11530,115,132.081619,132.303375,-0.221755981,-0.0163597353
0.11712,116,132.081619,132.303329,-0.2217102,-0.0163597353
0.11714,117,132.081619,132.303329,-0.2217102,-0.0163597353
0.11836,118,132.081619,132.303329,-0.2217102,-0.0163597353
0.11837,119,132.081619,132.303329,-0.2217102,-0.0163597353
0.12024,120,132.081619,132.303329,-0.2217102,-0.0163597353
0.12212,121,132.081619,132.303329,-0.2217102,0
0.12216,122,132.081619,132.303329,-0.2217102,0
0.12328,123,132.081619,132.303329,-0.2217102,0
0.12514,124,132.081619,132.303375,-0.221755981,0
0.12516,125,132.081619,132.303375,-0.221755981,0
0.12638,126,132.081619,132.303375,-0.221755981,0
0.12640,127,132.081619,132.303375,-0.221755981,0
0.12822,128,132.081619,132.303375,-0.221755981,0
0.13006,129,132.081619,132.303375,-0.221755981,0
0.13010,130,132.081619,132.303375,-0.221755981,0
0.13128,131,132.081619,132.303375,-0.221755981,0
0.13312,132,132.081619,132.303375,-0.221755981,0
0.13314,133,132.081619,132.303375,-0.221755981,0
0.13436,134,132.081619,132.303375,-0.221755981,0
0.13438,135,132.081619,132.303375,-0.221755981,0
0.13643,136,132.081619,132.303375,-0.221755981,0
0.13807,137,132.081619,132.303375,-0.221755981,0
0.13810,138,132.081619,132.303375,-0.221755981,0
0.13931,139,132.081619,132.303375,-0.221755981,0
0.14111,140,132.081619,132.303375,-0.221755981,0
0.14113,141,132.081619,132.303375,-0.221755981,0
0.14236,142,132.081619,132.303375,-0.221755981,0
0.14238,143,132.081619,132.303375,-0.221755981,0
0.14421,144,132.081619,132.303375,-0.221755981,0
0.14605,145,132.081619,132.303375,-0.221755981,0
0.14608,146,132.081619,132.303375,-0.221755981,0
0.14730,147,132.081619,132.303375,-0.221755981,0
0.14912,148,132.081619,132.303375,-0.221755981,0
0.14914,149,132.081619,132.303375,-0.221755981,0
0.15036,150,132.081619,132.303375,-0.221755981,0
0.15038,151,132.081619,132.303375,-0.221755981,0
0.15223,152,132.081619,132.303375,-0.221755981,0
0.15404,153,132.081619,132.303375,-0.221755981,0
0.15408,154,132.081619,132.303329,-0.2217102,0
0.15530,155,132.081619,132.303329,-0.2217102,-0.0163597353
0.15714,156,132.081619,132.3033,-0.221679688,-0.0272662267
0.15716,157,132.081619,132.3033,-0.221679688,-0.0272662267
0.15837,158,132.081619,132.3033,-0.221679688,-0.0272662267
0.15838,159,132.081619,132.303253,-0.221633911,-0.0272662267
0.16022,160,132.081619,132.303253,-0.221633911,-0.0163597353
0.16203,161,132.081619,132.303253,-0.221633911,-0.0163597353
0.16206,162,132.081619,132.303253,-0.221633911,-0.0163597353
0.16327,163,132.081619,132.303253,-0.221633911,-0.0163597353
