t,n,A,B,C,D
0.00322,0,449.714142,450.04953,-0.335388184,-0.0272662267
0.00326,1,449.714142,450.04953,-0.335388184,-0.0163597353
0.00453,2,449.714142,450.049561,-0.3354187,-0.0163597353
0.00458,3,449.714142,450.049561,-0.3354187,0
0.00641,4,449.714142,450.049561,-0.3354187,0
0.00806,5,449.714142,450.049561,-0.3354187,0
0.00810,6,449.714142,450.049561,-0.3354187,0
0.00934,7,449.714142,450.049561,-0.3354187,0
0.01114,8,449.714142,450.049561,-0.3354187,0
0.01118,9,449.714142,450.049561,-0.3354187,0
0.01235,10,449.714142,450.049561,-0.3354187,0
0.01237,11,449.714142,450.049561,-0.3354187,0
0.01426,12,449.714142,450.049561,-0.3354187,0
0.01604,13,449.714142,450.049561,-0.3354187,0
0.01606,14,449.714142,450.049561,-0.3354187,0
0.01728,15,449.714142,450.049561,-0.3354187,0
0.01910,16,449.714142,450.049561,-0.3354187,0
0.01911,17,449.714142,450.049561,-0.3354187,0
0.02034,18,449.714142,450.049561,-0.3354187,0
0.02036,19,449.714142,450.049561,-0.3354187,0
0.02223,20,449.714142,450.049561,-0.3354187,0
0.02401,21,449.714142,450.049561,-0.3354187,0
0.02403,22,449.714142,450.049561,-0.3354187,0
0.02529,23,449.714142,450.049561,-0.3354187,0
0.02712,24,449.714142,450.04953,-0.335388184,0
0.02714,25,449.714142,450.04953,-0.335388184,-0.0163597353
0.02836,26,449.714142,450.04953,-0.335388184,-0.0163597353
0.02838,27,449.714142,450.04953,-0.335388184,-0.0163597353
0.03028,28,449.714142,450.04953,-0.335388184,-0.0163597353
0.03205,29,449.714142,450.04953,-0.335388184,0
0.03208,30,449.714142,450.04953,-0.335388184,0
0.03329,31,449.714142,450.04953,-0.335388184,0
0.03510,32,449.714142,450.04953,-0.335388184,0
0.03512,33,449.714142,450.04953,-0.335388184,0
0.03639,34,449.714142,450.04953,-0.335388184,0
0.03642,35,449.714142,450.04953,-0.335388184,0
0.03831,36,449.714142,450.04953,-0.335388184,0
0.04005,37,449.714142,450.04953,-0.335388184,0
0.04009,38,449.714142,450.04953,-0.335388184,0
0.04134,39,449.714142,450.04953,-0.335388184,0
0.04312,40,449.714142,450.04953,-0.335388184,0
0.04316,41,449.714142,450.04953,-0.335388184,0
0.04436,42,449.714142,450.04953,-0.335388184,0
0.04438,43,449.714142,450.04953,-0.335388184,0
0.04626,44,449.714142,450.04953,-0.335388184,0
0.04803,45,449.714142,450.04953,-0.335388184,0
0.04805,46,449.714142,450.04953,-0.335388184,0
0.04927,47,449.714142,450.04953,-0.335388184,0
0.05110,48,449.714142,450.04953,-0.335388184,0
0.05112,49,449.714142,450.049469,-0.335327148,-0.0163597353
0.05238,50,449.714142,450.049469,-0.335327148,-0.0272662267
0.05241,51,449.714142,450.0494,-0.3352661,-0.0272662267
0.05461,52,449.714142,450.0494,-0.3352661,-0.0272662267
0.05604,53,449.714142,450.0494,-0.3352661,-0.0163597353
0.05606,54,449.714142,450.049377,-0.3352356,-0.0163597353
0.05727,55,449.714142,450.049377,-0.3352356,-0.0163597353
0.05911,56,449.714142,450.049377,-0.3352356,-0.0163597353
0.05913,57,449.714142,450.049377,-0.3352356,-0.0163597353
0.06039,58,449.714142,450.049377,-0.3352356,-0.0163597353
0.06041,59,449.714142,450.049377,-0.3352356,0
0.06225,60,449.714142,450.049377,-0.3352356,0
0.06403,61,449.714142,450.049377,-0.3352356,0
0.06407,62,449.714142,450.049377,-0.3352356,0
0.06525,63,449.714142,450.049377,-0.3352356,0
0.06711,64,449.714142,450.049377,-0.3352356,0
0.06713,65,449.714142,450.049377,-0.3352356,0
0.06836,66,449.714142,450.049377,-0.3352356,0
0.06837,67,449.714142,450.049377,-0.3352356,0
0.07028,68,449.714142,450.049377,-0.3352356,0
0.07204,69,449.714142,450.049377,-0.3352356,0
0.07206,70,449.714142,450.049377,-0.3352356,0
0.07326,71,449.714142,450.049377,-0.3352356,0
0.07511,72,449.714142,450.049377,-0.3352356,0
0.07515,73,449.714142,450.049377,-0.3352356,0
0.07635,74,449.714142,450.049377,-0.3352356,0
0.07639,75,449.714142,450.049377,-0.3352356,0
0.07826,76,449.714142,450.049377,-0.3352356,0
0.08003,77,449.714142,450.049377,-0.3352356,0
0.08007,78,449.714142,450.049377,-0.3352356,0
0.08127,79,449.714142,450.049377,-0.3352356,0
0.08312,80,449.714142,450.049377,-0.3352356,0
0.08317,81,449.714142,450.049377,-0.3352356,0
0.08438,82,449.714142,450.049377,-0.3352356,-0.0163597353
0.08440,83,449.714142,450.049377,-0.3352356,-0.0163597353
0.08630,84,449.714142,450.049377,-0.3352356,-0.0272662267
0.08804,85,449.714142,450.049377,-0.3352356,-0.0272662267
0.08807,86,449.714142,450.049316,-0.335174561,-0.0163597353
0.08927,87,449.714142,450.049316,-0.335174561,-0.0163597353
0.09112,88,449.714142,450.049316,-0.335174561,-0.0163597353
0.09115,89,449.714142,450.049316,-0.335174561,-0.0163597353
0.09236,90,449.714142,450.049316,-0.335174561,-0.0163597353
0.09237,91,449.714142,450.049316,-0.335174561,-0.0163597353
0.09427,92,449.714142,450.049316,-0.335174561,0
0.09603,93,449.714142,450.049316,-0.335174561,0
0.09608,94,449.714142,450.049316,-0.335174561,0
0.09727,95,449.714142,450.049316,-0.335174561,0
0.09912,96,449.714142,450.049316,-0.335174561,0
0.09915,97,449.714142,450.049316,-0.335174561,0
0.10040,98,449.714142,450.049316,-0.335174561,0
0.10044,99,449.714142,450.049316,-0.335174561,0
0.10228,100,449.714142,450.049316,-0.335174561,0
0.10400,101,449.714142,450.049316,-0.335174561,0
0.10405,102,449.714142,450.049316,-0.335174561,0
0.10528,103,449.714142,450.049316,-0.335174561,0
0.10712,104,449.714142,450.049316,-0.335174561,0
0.10715,105,449.714142,450.049316,-0.335174561,0
0.10836,106,449.714142,450.049316,-0.335174561,0
0.10837,107,449.714142,450.049316,-0.335174561,0
0.11029,108,449.714142,450.049316,-0.335174561,0
0.11201,109,449.714142,450.049316,-0.335174561,0
0.11203,110,449.714142,450.049316,-0.335174561,0
0.11330,111,449.714142,450.049316,-0.335174561,0
0.11515,112,449.714142,450.049316,-0.335174561,0
0.11519,113,449.714142,450.049316,-0.335174561,0
0.11637,114,449.714142,450.049316,-0.335174561,0
0.11639,115,449.714142,450.049316,-0.335174561,0
0.11831,116,449.714142,450.049255,-0.335113525,0
0.12000,117,449.714142,450.049255,-0.335113525,-0.0163597353
0.12001,118,449.714142,450.049255,-0.335113525,-0.0163597353
0.12127,119,449.714142,450.049255,-0.335113525,-0.0272662267
0.12311,120,449.714142,450.049225,-0.335083,-0.0272662267
0.12314,121,449.714142,450.049225,-0.335083,-0.0163597353
0.12438,122,449.714142,450.049225,-0.335083,-0.0163597353
0.12440,123,449.714142,450.049225,-0.335083,-0.0163597353
0.12623,124,449.714142,450.049225,-0.335083,-0.0163597353
0.12805,125,449.714142,450.049225,-0.335083,-0.0163597353
0.12808,126,449.714142,450.049225,-0.335083,-0.0163597353
0.12928,127,449.714142,450.049225,-0.335083,-0.0163597353
0.13116,128,449.714142,450.049225,-0.335083,0
0.13121,129,449.714142,450.049225,-0.335083,0
0.13235,130,449.714142,450.049225,-0.335083,0
0.13236,131,449.714142,450.049225,-0.335083,0
0.13431,132,449.714142,450.049225,-0.335083,0
0.13599,133,449.714142,450.049225,-0.335083,0
0.13601,134,449.714142,450.049225,-0.335083,0
0.13726,135,449.714142,450.049225,-0.335083,0
0.13912,136,449.714142,450.049225,-0.335083,0
0.13914,137,449.714142,450.049225,-0.335083,0
0.14039,138,449.714142,450.049225,-0.335083,0
0.14041,139,449.714142,450.049225,-0.335083,0
0.14228,140,449.714142,450.049225,-0.335083,0
0.14401,141,449.714142,450.049225,-0.335083,0
0.14403,142,449.714142,450.049225,-0.335083,0
0.14527,143,449.714142,450.049225,-0.335083,0
0.14712,144,449.714142,450.049225,-0.335083,0
0.14715,145,449.714142,450.049225,-0.335083,0
0.14835,146,449.714142,450.049225,-0.335083,0
0.14837,147,449.714142,450.049225,-0.335083,0
0.15026,148,449.714142,450.049225,-0.335083,0
0.15199,149,449.714142,450.049225,-0.335083,0
0.15200,150,449.714142,450.049225,-0.335083,0
0.15325,151,449.714142,450.049225,-0.335083,0
0.15511,152,449.714142,450.049225,-0.335083,0
0.15515,153,449.714142,450.049225,-0.335083,0
0.15636,154,449.714142,450.049225,-0.335083,0
0.15637,155,449.714142,450.049225,-0.335083,0
0.15826,156,449.714142,450.049225,-0.335083,0
0.16002,157,449.714142,450.049225,-0.335083,-0.0163597353
0.16004,158,449.714142,450.049164,-0.335021973,-0.0163597353
0.16127,159,449.714142,450.049164,-0.335021973,-0.0272662267
0.16310,160,449.714142,450.049164,-0.335021973,-0.0272662267
0.16312,161,449.714142,450.049164,-0.335021973,-0.0163597353
0.16438,162,449.714142,450.0491,-0.334960938,-0.0163597353
