t,n,A,B,C,D
0.00182,0,825.5867,825.5868,-0.01586914,0
0.00288,1,825.5867,825.5868,-0.01586914,0
0.00482,2,825.5867,825.5868,-0.01586914,0
0.00484,3,825.5867,825.5868,-0.01586914,0
0.00655,4,825.5867,825.5868,-0.01586914,0
0.00657,5,825.5867,825.5868,-0.01586914,0
0.00781,6,825.5867,825.5868,-0.01586914,0
0.00963,7,825.5867,825.5868,-0.01586914,0
0.00966,8,825.5867,825.5868,-0.01586914,0
0.01088,9,825.5867,825.5868,-0.01586914,0
0.01269,10,825.5867,825.5868,-0.01586914,0
0.01271,11,825.5867,825.5868,-0.01586914,0
0.01455,12,825.5867,825.5868,-0.01586914,0
0.01460,13,825.5867,825.5868,-0.01586914,0
0.01577,14,825.5867,825.5868,-0.01586914,0
0.01766,15,825.5867,825.5868,-0.01586914,0
0.01771,16,825.5867,825.5868,-0.01586914,0
0.01890,17,825.5867,825.5868,-0.01586914,0
0.02070,18,825.5867,825.5868,-0.01586914,0
0.02072,19,825.5867,825.5868,-0.01586914,0
0.02257,20,825.5867,825.5868,-0.01586914,0
0.02265,21,825.5867,825.5868,-0.01586914,0
0.02379,22,825.5867,825.5868,-0.01586914,0
0.02563,23,825.5867,825.5868,-0.01586914,0
0.02566,24,825.5867,825.5868,-0.01586914,0
0.02687,25,825.5867,825.5868,-0.01586914,0
0.02870,26,825.5867,825.5868,-0.01586914,0
0.02873,27,825.5867,825.5868,-0.01586914,0
0.03055,28,825.5867,825.5868,-0.01586914,0
0.03058,29,825.5867,825.5868,-0.01586914,0
0.03177,30,825.5867,825.5868,-0.01586914,0
0.03362,31,825.5867,825.5868,-0.01586914,0
0.03366,32,825.5867,825.5868,-0.01586914,0
0.03489,33,825.5867,825.5868,-0.01586914,0
0.03671,34,825.5867,825.5868,-0.01586914,0
0.03675,35,825.5867,825.5868,-0.01586914,0
0.03854,36,825.5867,825.5868,-0.01586914,0
0.03855,37,825.5867,825.5868,-0.01586914,0
0.03979,38,825.5867,825.5868,-0.01586914,0
0.04164,39,825.5867,825.5868,-0.01586914,0
0.04167,40,825.5867,825.5868,-0.01586914,0
0.04288,41,825.5867,825.5868,-0.01586914,0
0.04469,42,825.5867,825.5868,-0.01586914,0
0.04472,43,825.5867,825.5868,-0.01586914,0
0.04654,44,825.5867,825.5868,-0.01586914,0
0.04658,45,825.5867,825.5868,-0.01586914,0
0.04778,46,825.5867,825.5868,-0.01586914,0
0.04961,47,825.5867,825.5868,-0.01586914,0
0.04963,48,825.5867,825.5868,-0.01586914,0
0.05122,49,825.5867,825.5868,-0.01586914,0
0.05270,50,825.5867,825.5868,-0.01586914,0
0.05273,51,825.5867,825.5868,-0.01586914,0
0.05455,52,825.5867,825.5868,-0.01586914,0
0.05458,53,825.5867,825.5868,-0.01586914,0
0.05580,54,825.5867,825.5868,-0.01586914,0
0.05764,55,825.5867,825.5868,-0.01586914,0
0.05767,56,825.5867,825.5868,-0.01586914,0
0.05887,57,825.5867,825.5868,-0.01586914,0
0.06070,58,825.5867,825.5868,-0.01586914,0
0.06072,59,825.5867,825.5868,-0.01586914,0
0.06255,60,825.5867,825.5868,-0.01586914,0
0.06257,61,825.5867,825.5868,-0.01586914,0
0.06378,62,825.5867,825.5868,-0.01586914,0
0.06563,63,825.5867,825.5868,-0.01586914,0
