t,n,A,B,C,D
0.00159,0,824.192566,824.192566,0,0
0.00275,1,824.192566,824.192566,0,0
0.00279,2,824.192566,824.192566,0,0
0.00458,3,824.192566,824.192566,0,0
0.00643,4,824.192566,824.192566,0,0
0.00646,5,824.192566,824.192566,0,0
0.00765,6,824.192566,824.192566,0,0
0.00947,7,824.192566,824.192566,0,0
0.00949,8,824.192566,824.192566,0,0
0.01072,9,824.192566,824.192566,0,0
0.01073,10,824.192566,824.192566,0,0
0.01261,11,824.192566,824.192566,0,0
0.01442,12,824.192566,824.192566,0,0
0.01445,13,824.192566,824.192566,0,0
0.01566,14,824.192566,824.192566,0,0
0.01750,15,824.192566,824.192566,0,0
0.01752,16,824.192566,824.192566,0,0
0.01871,17,824.192566,824.192566,0,0
0.01873,18,824.192566,824.192566,0,0
0.02061,19,824.192566,824.192566,0,0
0.02241,20,824.192566,824.192566,0,0
0.02244,21,824.192566,824.192566,0,0
0.02363,22,824.192566,824.192566,0,0
0.02549,23,824.192566,824.192566,0,0
0.02551,24,824.192566,824.192566,0,0
0.02672,25,824.192566,824.192566,0,0
0.02673,26,824.192566,824.192566,0,0
0.02856,27,824.192566,824.192566,0,0
0.03042,28,824.192566,824.192566,0,0
0.03047,29,824.192566,824.192566,0,0
0.03164,30,824.192566,824.192566,0,0
0.03349,31,824.192566,824.192566,0,0
0.03351,32,824.192566,824.192566,0,0
0.03471,33,824.192566,824.192566,0,0
0.03473,34,824.192566,824.192566,0,0
0.03656,35,824.192566,824.192566,0,0
0.03840,36,824.192566,824.192566,0,0
0.03843,37,824.192566,824.192566,0,0
0.03963,38,824.192566,824.192566,0,0
0.04151,39,824.192566,824.192566,0,0
0.04155,40,824.192566,824.192566,0,0
0.04271,41,824.192566,824.192566,0,0
0.04272,42,824.192566,824.192566,0,0
0.04454,43,824.192566,824.192566,0,0
0.04672,44,824.192566,824.192566,0,0
0.04677,45,824.192566,824.192566,0,0
0.04764,46,824.192566,824.192566,0,0
0.04950,47,824.192566,824.192566,0,0
0.04954,48,824.192566,824.192566,0,0
0.05082,49,824.192566,824.192566,0,0
0.05083,50,824.192566,824.192566,0,0
0.05257,51,824.192566,824.192566,0,0
0.05440,52,824.192566,824.192566,0,0
0.05442,53,824.192566,824.192566,0,0
0.05563,54,824.192566,824.192566,0,0
0.05749,55,824.192566,824.192566,0,0
0.05752,56,824.192566,824.192566,0,0
0.05873,57,824.192566,824.192566,0,0
0.05874,58,824.192566,824.192566,0,0
0.06057,59,824.192566,824.192566,0,0
0.06238,60,824.192566,824.192566,0,0
0.06240,61,824.192566,824.192566,0,0
0.06369,62,824.192566,824.192566,0,0
0.06553,63,824.192566,824.192566,0,0
0.06559,64,824.192566,824.192566,0,0
0.06674,65,824.192566,824.192566,0,0
0.06675,66,824.192566,824.192566,0,0
0.06862,67,824.192566,824.192566,0,0
0.07037,68,824.192566,824.192566,0,0
0.07040,69,824.192566,824.192566,0,0
0.07163,70,824.192566,824.192566,0,0
0.07348,71,824.192566,824.192566,0,0
0.07350,72,824.192566,824.192566,0,0
0.07472,73,824.192566,824.192566,0,0
0.07474,74,824.192566,824.192566,0,0
0.07658,75,824.192566,824.192566,0,0
0.07840,76,824.192566,824.192566,0,0
0.07843,77,824.192566,824.192566,0,0
0.07983,78,824.192566,824.192566,0,0
0.08152,79,824.192566,824.192566,0,0
0.08156,80,824.192566,824.192566,0,0
0.08273,81,824.192566,824.192566,0,0
0.08275,82,824.192566,824.192566,0,0
0.08457,83,824.192566,824.192566,0,0
0.08638,84,824.192566,824.192566,0,0
0.08642,85,824.192566,824.192566,0,0
0.08762,86,824.192566,824.192566,0,0
0.08947,87,824.192566,824.192566,0,0
0.08950,88,824.192566,824.192566,0,0
0.09074,89,824.192566,824.192566,0,0
0.09075,90,824.192566,824.192566,0,0
0.09257,91,824.192566,824.192566,0,0
0.09441,92,824.192566,824.192566,0,0
0.09443,93,824.192566,824.192566,0,0
0.09564,94,824.192566,824.192566,0,0
0.09748,95,824.192566,824.192566,0,0
0.09750,96,824.192566,824.192566,0,0
0.09875,97,824.192566,824.192566,0,0
0.09877,98,824.192566,824.192566,0,0
0.10059,99,824.192566,824.192566,0,0
0.10239,100,824.192566,824.192566,0,0
0.10241,101,824.192566,824.192566,0,0
0.10363,102,824.192566,824.192566,0,0
0.10548,103,824.192566,824.192566,0,0
0.10550,104,824.192566,824.192566,0,0
0.10672,105,824.192566,824.192566,0,0
0.10674,106,824.192566,824.192566,0,0
0.10865,107,824.192566,824.192566,0,0
0.11040,108,824.192566,824.192566,0,0
0.11043,109,824.192566,824.192566,0,0
0.11164,110,824.192566,824.192566,0,0
0.11357,111,824.192566,824.192566,0,0
0.11361,112,824.192566,824.192566,0,0
0.11473,113,824.192566,824.192566,0,0
0.11474,114,824.192566,824.192566,0,0
0.11659,115,824.192566,824.192566,0,0
0.11841,116,824.192566,824.192566,0,0
0.11846,117,824.192566,824.192566,0,0
0.11965,118,824.192566,824.192566,0,0
0.12154,119,824.192566,824.192566,0,0
0.12157,120,824.192566,824.192566,0,0
0.12274,121,824.192566,824.192566,0,0
0.12276,122,824.192566,824.192566,0,0
0.12460,123,824.192566,824.192566,0,0
0.12639,124,824.192566,824.192566,0,0
0.12642,125,824.192566,824.192566,0,0
0.12763,126,824.192566,824.192566,0,0
0.12948,127,824.192566,824.192566,0,0
0.12951,128,824.192566,824.192566,0,0
0.13073,129,824.192566,824.192566,0,0
0.13074,130,824.192566,824.192566,0,0
0.13258,131,824.192566,824.192566,0,0
0.13437,132,824.192566,824.192566,0,0
0.13439,133,824.192566,824.192566,0,0
0.13564,134,824.192566,824.192566,0,0
0.13749,135,824.192566,824.192566,0,0
0.13751,136,824.192566,824.192566,0,0
0.13872,137,824.192566,824.192566,0,0
0.13873,138,824.192566,824.192566,0,0
0.14056,139,824.192566,824.192566,0,0
0.14239,140,824.192566,824.192566,0,0
0.14241,141,824.192566,824.192566,0,0
0.14363,142,824.192566,824.192566,0,0
0.14549,143,824.192566,824.192566,0,0
0.14552,144,824.192566,824.192566,0,0
0.14684,145,824.192566,824.192566,0,0
0.14688,146,824.192566,824.192566,0,0
0.14860,147,824.192566,824.192566,0,0
0.15039,148,824.192566,824.192566,0,0
0.15042,149,824.192566,824.192566,0,0
0.15164,150,824.192566,824.192566,0,0
0.15348,151,824.192566,824.192566,0,0
0.15349,152,824.192566,824.192566,0,0
0.15471,153,824.192566,824.192566,0,0
0.15474,154,824.192566,824.192566,0,0
0.15657,155,824.192566,824.192566,0,0
0.15838,156,824.192566,824.192566,0,0
0.15841,157,824.192566,824.192566,0,0
0.15967,158,824.192566,824.192566,0,0
0.16146,159,824.192566,824.192566,0,0
0.16148,160,824.192566,824.192566,0,0
0.16273,161,824.192566,824.192566,0,0
0.16275,162,824.192566,824.192566,0,0
0.16457,163,824.192566,824.192566,0,0
0.16639,164,824.192566,824.192566,0,0
