t,n,A,B,C,D
0.00153,0,825.1864,825.186462,-0.00793457,0
0.00266,1,825.1864,825.186462,-0.00793457,0
0.00450,2,825.1864,825.186462,-0.00793457,0
0.00452,3,825.1864,825.186462,-0.00793457,0
0.00580,4,825.1864,825.186462,-0.00793457,0
0.00756,5,825.1864,825.186462,-0.00793457,0
0.00758,6,825.1864,825.186462,-0.00793457,0
0.00944,7,825.1864,825.186462,-0.00793457,0
0.00948,8,825.1864,825.186462,-0.00793457,0
0.01065,9,825.1864,825.186462,-0.00793457,0
0.01252,10,825.1864,825.186462,-0.00793457,0
0.01255,11,825.1864,825.186462,-0.00793457,0
0.01378,12,825.1864,825.186462,-0.00793457,0
0.01555,13,825.1864,825.186462,-0.00793457,0
0.01557,14,825.1864,825.186462,-0.00793457,0
0.01741,15,825.1864,825.186462,-0.00793457,0
0.01744,16,825.1864,825.186462,-0.00793457,0
0.01865,17,825.1864,825.186462,-0.00793457,0
0.02051,18,825.1864,825.186462,-0.00793457,0
0.02054,19,825.1864,825.186462,-0.00793457,0
0.02176,20,825.1864,825.186462,-0.00793457,0
0.02356,21,825.1864,825.186462,-0.00793457,0
0.02360,22,825.1864,825.186462,-0.00793457,0
0.02541,23,825.1864,825.186462,-0.00793457,0
0.02544,24,825.1864,825.186462,-0.00793457,0
0.02663,25,825.1864,825.186462,-0.00793457,0
0.02848,26,825.1864,825.186462,-0.00793457,0
0.02851,27,825.1864,825.186462,-0.00793457,0
0.02979,28,825.1864,825.186462,-0.00793457,0
0.03155,29,825.1864,825.186462,-0.00793457,0
0.03159,30,825.1864,825.186462,-0.00793457,0
0.03342,31,825.1864,825.186462,-0.00793457,0
0.03346,32,825.1864,825.186462,-0.00793457,0
0.03465,33,825.1864,825.186462,-0.00793457,0
0.03651,34,825.1864,825.186462,-0.00793457,0
0.03654,35,825.1864,825.186462,-0.00793457,0
0.03778,36,825.1864,825.186462,-0.00793457,0
0.03954,37,825.1864,825.186462,-0.00793457,0
0.03956,38,825.1864,825.186462,-0.00793457,0
0.04143,39,825.1864,825.186462,-0.00793457,0
0.04147,40,825.1864,825.186462,-0.00793457,0
0.04263,41,825.1864,825.186462,-0.00793457,0
0.04451,42,825.1864,825.186462,-0.00793457,0
0.04454,43,825.1864,825.186462,-0.00793457,0
0.04581,44,825.1864,825.186462,-0.00793457,0
0.04755,45,825.1864,825.186462,-0.00793457,0
0.04759,46,825.1864,825.186462,-0.00793457,0
0.04938,47,825.1864,825.186462,-0.00793457,0
0.04941,48,825.1864,825.186462,-0.00793457,0
0.05065,49,825.1864,825.186462,-0.00793457,0
0.05251,50,825.1864,825.186462,-0.00793457,0
0.05255,51,825.1864,825.186462,-0.00793457,0
0.05377,52,825.1864,825.186462,-0.00793457,0
0.05556,53,825.1864,825.186462,-0.00793457,0
0.05558,54,825.1864,825.186462,-0.00793457,0
0.05737,55,825.1864,825.186462,-0.00793457,0
0.05738,56,825.1864,825.186462,-0.00793457,0
0.05865,57,825.1864,825.186462,-0.00793457,0
0.06051,58,825.1864,825.186462,-0.00793457,0
0.06054,59,825.1864,825.186462,-0.00793457,0
0.06177,60,825.1864,825.186462,-0.00793457,0
0.06355,61,825.1864,825.186462,-0.00793457,0
0.06359,62,825.1864,825.186462,-0.00793457,0
0.06539,63,825.1864,825.186462,-0.00793457,0
0.06541,64,825.1864,825.186462,-0.00793457,0
0.06664,65,825.1864,825.186462,-0.00793457,0
0.06849,66,825.1864,825.186462,-0.00793457,0
0.06851,67,825.1864,825.186462,-0.00793457,0
0.06978,68,825.1864,825.186462,-0.00793457,0
0.07157,69,825.1864,825.186462,-0.00793457,0
0.07162,70,825.1864,825.186462,-0.00793457,0
0.07338,71,825.1864,825.186462,-0.00793457,0
0.07339,72,825.1864,825.186462,-0.00793457,0
0.07463,73,825.1864,825.186462,-0.00793457,0
0.07649,74,825.1864,825.186462,-0.00793457,0
0.07652,75,825.1864,825.186462,-0.00793457,0
0.07778,76,825.1864,825.186462,-0.00793457,0
0.07955,77,825.1864,825.186462,-0.00793457,0
0.07959,78,825.1864,825.186462,-0.00793457,0
0.08139,79,825.1864,825.186462,-0.00793457,0
0.08141,80,825.1864,825.186462,-0.00793457,0
0.08266,81,825.1864,825.186462,-0.00793457,0
0.08449,82,825.1864,825.186462,-0.00793457,0
0.08452,83,825.1864,825.186462,-0.00793457,0
0.08584,84,825.1864,825.186462,-0.00793457,0
0.08755,85,825.1864,825.186462,-0.00793457,0
0.08756,86,825.1864,825.186462,-0.00793457,0
0.08938,87,825.1864,825.186462,-0.00793457,0
0.08940,88,825.1864,825.186462,-0.00793457,0
0.09065,89,825.1864,825.186462,-0.00793457,0
0.09246,90,825.1864,825.186462,-0.00793457,0
0.09248,91,825.1864,825.186462,-0.00793457,0
0.09379,92,825.1864,825.186462,-0.00793457,0
0.09574,93,825.1864,825.186462,-0.00793457,0
0.09581,94,825.1864,825.186462,-0.00793457,0
0.09740,95,825.1864,825.186462,-0.00793457,0
0.09742,96,825.1864,825.186462,-0.00793457,0
0.09865,97,825.1864,825.186462,-0.00793457,0
0.10047,98,825.1864,825.186462,-0.00793457,0
0.10050,99,825.1864,825.186462,-0.00793457,0
0.10182,100,825.1864,825.186462,-0.00793457,0
0.10357,101,825.1864,825.186462,-0.00793457,0
0.10359,102,825.1864,825.186462,-0.00793457,0
0.10537,103,825.1864,825.186462,-0.00793457,0
0.10538,104,825.1864,825.186462,-0.00793457,0
0.10663,105,825.1864,825.186462,-0.00793457,0
0.10847,106,825.1864,825.186462,-0.00793457,0
0.10851,107,825.1864,825.186462,-0.00793457,0
0.10979,108,825.1864,825.186462,-0.00793457,0
0.11157,109,825.1864,825.186462,-0.00793457,0
0.11160,110,825.1864,825.186462,-0.00793457,0
0.11340,111,825.1864,825.186462,-0.00793457,0
0.11342,112,825.1864,825.186462,-0.00793457,0
0.11465,113,825.1864,825.186462,-0.00793457,0
0.11647,114,825.1864,825.186462,-0.00793457,0
0.11649,115,825.1864,825.186462,-0.00793457,0
0.11779,116,825.1864,825.186462,-0.00793457,0
0.11958,117,825.1864,825.186462,-0.00793457,0
0.11962,118,825.1864,825.186462,-0.00793457,0
0.12138,119,825.1864,825.186462,-0.00793457,0
0.12139,120,825.1864,825.186462,-0.00793457,0
0.12265,121,825.1864,825.186462,-0.00793457,0
0.12446,122,825.1864,825.186462,-0.00793457,0
0.12448,123,825.1864,825.186462,-0.00793457,0
0.12578,124,825.1864,825.186462,-0.00793457,0
0.12757,125,825.1864,825.186462,-0.00793457,0
0.12761,126,825.1864,825.186462,-0.00793457,0
0.12939,127,825.1864,825.186462,-0.00793457,0
0.12943,128,825.1864,825.186462,-0.00793457,0
0.13083,129,825.1864,825.186462,-0.00793457,0
0.13248,130,825.1864,825.186462,-0.00793457,0
0.13249,131,825.1864,825.186462,-0.00793457,0
0.13378,132,825.1864,825.186462,-0.00793457,0
0.13555,133,825.1864,825.186462,-0.00793457,0
0.13559,134,825.1864,825.186462,-0.00793457,0
0.13738,135,825.1864,825.186462,-0.00793457,0
0.13739,136,825.1864,825.186462,-0.00793457,0
0.13867,137,825.1864,825.186462,-0.00793457,0
