t,n,A,B,C,D
0.00049,0,810.789734,810.789856,-0.01586914,0
0.00229,1,810.789734,810.789856,-0.01586914,0
0.00233,2,810.789734,810.789856,-0.01586914,0
0.00356,3,810.789734,810.789856,-0.01586914,0
0.00535,4,810.789734,810.789856,-0.01586914,0
0.00539,5,810.789734,810.789856,-0.01586914,0
0.00665,6,810.789734,810.789856,-0.01586914,0
0.00672,7,810.789734,810.789856,-0.01586914,0
0.00846,8,810.789734,810.789856,-0.01586914,0
0.01036,9,810.789734,810.789856,-0.01586914,0
0.01044,10,810.789734,810.789856,-0.01586914,0
0.01152,11,810.789734,810.789856,-0.01586914,0
0.01335,12,810.789734,810.789856,-0.01586914,0
0.01338,13,810.789734,810.789856,-0.01586914,0
0.01463,14,810.789734,810.789856,-0.01586914,0
0.01466,15,810.789734,810.789856,-0.01586914,0
0.01643,16,810.789734,810.789856,-0.01586914,0
0.01826,17,810.789734,810.789856,-0.01586914,0
0.01829,18,810.789734,810.789856,-0.01586914,0
0.01948,19,810.789734,810.789856,-0.01586914,0
0.02135,20,810.789734,810.789856,-0.01586914,0
0.02136,21,810.789734,810.789856,-0.01586914,0
0.02262,22,810.789734,810.789856,-0.01586914,0
0.02265,23,810.789734,810.789856,-0.01586914,0
0.02439,24,810.789734,810.789856,-0.01586914,0
0.02625,25,810.789734,810.789856,-0.01586914,0
0.02629,26,810.789734,810.789856,-0.01586914,0
0.02753,27,810.789734,810.789856,-0.01586914,0
0.02933,28,810.789734,810.789856,-0.01586914,0
0.02935,29,810.789734,810.789856,-0.01586914,0
0.03059,30,810.789734,810.789856,-0.01586914,0
0.03061,31,810.789734,810.789856,-0.01586914,0
0.03242,32,810.789734,810.789856,-0.01586914,0
0.03424,33,810.789734,810.789856,-0.01586914,0
0.03426,34,810.789734,810.789856,-0.01586914,0
0.03548,35,810.789734,810.789856,-0.01586914,0
0.03730,36,810.789734,810.789856,-0.01586914,0
0.03732,37,810.789734,810.789856,-0.01586914,0
0.03858,38,810.789734,810.789856,-0.01586914,0
0.03860,39,810.789734,810.789856,-0.01586914,0
0.04043,40,810.789734,810.789856,-0.01586914,0
0.04224,41,810.789734,810.789856,-0.01586914,0
0.04227,42,810.789734,810.789856,-0.01586914,0
0.04386,43,810.789734,810.789856,-0.01586914,0
