t,n,A,B,C,D
0.00060,0,817.591248,817.5912,0.00793457,0
0.00221,1,817.591248,817.5912,0.00793457,0
0.00403,2,817.591248,817.5912,0.00793457,0
0.00406,3,817.591248,817.5912,0.00793457,0
0.00524,4,817.591248,817.5912,0.00793457,0
0.00705,5,817.591248,817.5912,0.00793457,0
0.00708,6,817.591248,817.5912,0.00793457,0
0.00833,7,817.591248,817.5912,0.00793457,0
0.00838,8,817.591248,817.5912,0.00793457,0
0.01016,9,817.591248,817.5912,0.00793457,0
0.01200,10,817.591248,817.5912,0.00793457,0
0.01202,11,817.591248,817.5912,0.00793457,0
0.01323,12,817.591248,817.5912,0.00793457,0
0.01507,13,817.591248,817.5912,0.00793457,0
0.01509,14,817.591248,817.5912,0.00793457,0
0.01631,15,817.591248,817.5912,0.00793457,0
0.01632,16,817.591248,817.5912,0.00793457,0
0.01814,17,817.591248,817.5912,0.00793457,0
0.01999,18,817.591248,817.5912,0.00793457,0
0.02002,19,817.591248,817.5912,0.00793457,0
0.02122,20,817.591248,817.5912,0.00793457,0
0.02307,21,817.591248,817.5912,0.00793457,0
0.02311,22,817.591248,817.5912,0.00793457,0
0.02433,23,817.591248,817.5912,0.00793457,0
0.02437,24,817.591248,817.5912,0.00793457,0
0.02615,25,817.591248,817.5912,0.00793457,0
0.02798,26,817.591248,817.5912,0.00793457,0
0.02802,27,817.591248,817.5912,0.00793457,0
0.02928,28,817.591248,817.5912,0.00793457,0
0.03109,29,817.591248,817.5912,0.00793457,0
0.03111,30,817.591248,817.5912,0.00793457,0
0.03234,31,817.591248,817.5912,0.00793457,0
0.03238,32,817.591248,817.5912,0.00793457,0
0.03414,33,817.591248,817.5912,0.00793457,0
0.03602,34,817.591248,817.5912,0.00793457,0
0.03606,35,817.591248,817.5912,0.00793457,0
0.03723,36,817.591248,817.5912,0.00793457,0
0.03910,37,817.591248,817.5912,0.00793457,0
0.03913,38,817.591248,817.5912,0.00793457,0
0.04032,39,817.591248,817.5912,0.00793457,0
0.04034,40,817.591248,817.5912,0.00793457,0
0.04218,41,817.591248,817.5912,0.00793457,0
0.04402,42,817.591248,817.5912,0.00793457,0
0.04406,43,817.591248,817.5912,0.00793457,0
0.04524,44,817.591248,817.5912,0.00793457,0
0.04711,45,817.591248,817.5912,0.00793457,0
0.04715,46,817.591248,817.5912,0.00793457,0
0.04831,47,817.591248,817.5912,0.00793457,0
0.04833,48,817.591248,817.5912,0.00793457,0
0.05017,49,817.591248,817.5912,0.00793457,0
0.05199,50,817.591248,817.5912,0.00793457,0
0.05202,51,817.591248,817.5912,0.00793457,0
0.05323,52,817.591248,817.5912,0.00793457,0
0.05514,53,817.591248,817.5912,0.00793457,0
0.05518,54,817.591248,817.5912,0.00793457,0
0.05632,55,817.591248,817.5912,0.00793457,0
0.05633,56,817.591248,817.5912,0.00793457,0
0.05817,57,817.591248,817.5912,0.00793457,0
0.06001,58,817.591248,817.5912,0.00793457,0
0.06004,59,817.591248,817.5912,0.00793457,0
0.06124,60,817.591248,817.5912,0.00793457,0
0.06307,61,817.591248,817.5912,0.00793457,0
0.06308,62,817.591248,817.5912,0.00793457,0
0.06434,63,817.591248,817.5912,0.00793457,0
0.06436,64,817.591248,817.5912,0.00793457,0
0.06617,65,817.591248,817.5912,0.00793457,0
0.06799,66,817.591248,817.5912,0.00793457,0
0.06802,67,817.591248,817.5912,0.00793457,0
0.06922,68,817.591248,817.5912,0.00793457,0
