t,n,A,B,C,D
0.00142,0,801.0001,801.0001,0,0
0.00244,1,801.0001,801.0001,0,0
0.00429,2,801.0001,801.0001,0,0
0.00432,3,801.0001,801.0001,0,0
0.00553,4,801.0001,801.0001,0,0
0.00739,5,801.0001,801.0001,0,0
0.00745,6,801.0001,801.0001,0,0
0.00921,7,801.0001,801.0001,0,0
0.00922,8,801.0001,801.0001,0,0
0.01052,9,801.0001,801.0001,0,0
0.01232,10,801.0001,801.0001,0,0
0.01238,11,801.0001,801.0001,0,0
0.01354,12,801.0001,801.0001,0,0
0.01538,13,801.0001,801.0001,0,0
0.01541,14,801.0001,801.0001,0,0
0.01726,15,801.0001,801.0001,0,0
0.01729,16,801.0001,801.0001,0,0
0.01847,17,801.0001,801.0001,0,0
0.02030,18,801.0001,801.0001,0,0
0.02033,19,801.0001,801.0001,0,0
0.02154,20,801.0001,801.0001,0,0
0.02342,21,801.0001,801.0001,0,0
0.02345,22,801.0001,801.0001,0,0
0.02527,23,801.0001,801.0001,0,0
0.02534,24,801.0001,801.0001,0,0
0.02644,25,801.0001,801.0001,0,0
0.02831,26,801.0001,801.0001,0,0
0.02835,27,801.0001,801.0001,0,0
0.02954,28,801.0001,801.0001,0,0
0.03137,29,801.0001,801.0001,0,0
0.03138,30,801.0001,801.0001,0,0
0.03324,31,801.0001,801.0001,0,0
0.03327,32,801.0001,801.0001,0,0
0.03445,33,801.0001,801.0001,0,0
0.03628,34,801.0001,801.0001,0,0
0.03631,35,801.0001,801.0001,0,0
0.03756,36,801.0001,801.0001,0,0
0.03941,37,801.0001,801.0001,0,0
0.03943,38,801.0001,801.0001,0,0
0.04118,39,801.0001,801.0001,0,0
0.04120,40,801.0001,801.0001,0,0
0.04245,41,801.0001,801.0001,0,0
0.04429,42,801.0001,801.0001,0,0
0.04431,43,801.0001,801.0001,0,0
0.04554,44,801.0001,801.0001,0,0
0.04737,45,801.0001,801.0001,0,0
0.04738,46,801.0001,801.0001,0,0
0.04921,47,801.0001,801.0001,0,0
0.04923,48,801.0001,801.0001,0,0
0.05049,49,801.0001,801.0001,0,0
0.05234,50,801.0001,801.0001,0,0
0.05237,51,801.0001,801.0001,0,0
0.05353,52,801.0001,801.0001,0,0
0.05539,53,801.0001,801.0001,0,0
0.05543,54,801.0001,801.0001,0,0
0.05721,55,801.0001,801.0001,0,0
0.05724,56,801.0001,801.0001,0,0
0.05852,57,801.0001,801.0001,0,0
0.06042,58,801.0001,801.0001,0,0
0.06046,59,801.0001,801.0001,0,0
0.06154,60,801.0001,801.0001,0,0
0.06337,61,801.0001,801.0001,0,0
0.06338,62,801.0001,801.0001,0,0
0.06521,63,801.0001,801.0001,0,0
0.06526,64,801.0001,801.0001,0,0
0.06644,65,801.0001,801.0001,0,0
0.06833,66,801.0001,801.0001,0,0
0.06835,67,801.0001,801.0001,0,0
0.06953,68,801.0001,801.0001,0,0
0.07139,69,801.0001,801.0001,0,0
0.07142,70,801.0001,801.0001,0,0
0.07319,71,801.0001,801.0001,0,0
0.07321,72,801.0001,801.0001,0,0
0.07445,73,801.0001,801.0001,0,0
0.07630,74,801.0001,801.0001,0,0
0.07634,75,801.0001,801.0001,0,0
0.07755,76,801.0001,801.0001,0,0
0.07939,77,801.0001,801.0001,0,0
0.07942,78,801.0001,801.0001,0,0
0.08121,79,801.0001,801.0001,0,0
0.08123,80,801.0001,801.0001,0,0
0.08244,81,801.0001,801.0001,0,0
0.08429,82,801.0001,801.0001,0,0
0.08431,83,801.0001,801.0001,0,0
0.08553,84,801.0001,801.0001,0,0
0.08742,85,801.0001,801.0001,0,0
0.08745,86,801.0001,801.0001,0,0
0.08922,87,801.0001,801.0001,0,0
0.08926,88,801.0001,801.0001,0,0
0.09044,89,801.0001,801.0001,0,0
0.09231,90,801.0001,801.0001,0,0
0.09235,91,801.0001,801.0001,0,0
0.09356,92,801.0001,801.0001,0,0
0.09541,93,801.0001,801.0001,0,0
0.09545,94,801.0001,801.0001,0,0
0.09725,95,801.0001,801.0001,0,0
0.09727,96,801.0001,801.0001,0,0
0.09845,97,801.0001,801.0001,0,0
0.10027,98,801.0001,801.0001,0,0
0.10030,99,801.0001,801.0001,0,0
0.10154,100,801.0001,801.0001,0,0
0.10338,101,801.0001,801.0001,0,0
0.10340,102,801.0001,801.0001,0,0
0.10521,103,801.0001,801.0001,0,0
0.10523,104,801.0001,801.0001,0,0
0.10645,105,801.0001,801.0001,0,0
0.10865,106,801.0001,801.0001,0,0
0.10871,107,801.0001,801.0001,0,0
0.10955,108,801.0001,801.0001,0,0
0.11141,109,801.0001,801.0001,0,0
0.11145,110,801.0001,801.0001,0,0
0.11322,111,801.0001,801.0001,0,0
0.11325,112,801.0001,801.0001,0,0
0.11445,113,801.0001,801.0001,0,0
0.11633,114,801.0001,801.0001,0,0
0.11636,115,801.0001,801.0001,0,0
0.11754,116,801.0001,801.0001,0,0
0.11939,117,801.0001,801.0001,0,0
0.11943,118,801.0001,801.0001,0,0
0.12121,119,801.0001,801.0001,0,0
0.12124,120,801.0001,801.0001,0,0
0.12244,121,801.0001,801.0001,0,0
0.17024,122,801.0001,801.0001,0,0
0.17029,123,801.0001,801.0001,0,0
0.17034,124,801.0001,801.0001,0,0
0.17036,125,801.0001,801.0001,0,0
0.17038,126,801.0001,801.0001,0,0
0.17040,127,801.0001,801.0001,0,0
0.17042,128,801.0001,801.0001,0,0
0.17044,129,801.0001,801.0001,0,0
0.17045,130,801.0001,801.0001,0,0
0.17046,131,801.0001,801.0001,0,0
0.17047,132,801.0001,801.0001,0,0
0.17048,133,801.0001,801.0001,0,0
0.17049,134,801.0001,801.0001,0,0
0.17051,135,801.0001,801.0001,0,0
0.17051,136,801.0001,801.0001,0,0
0.17052,137,801.0001,801.0001,0,0
0.17053,138,801.0001,801.0001,0,0
0.17054,139,801.0001,801.0001,0,0
0.17055,140,801.0001,801.0001,0,0
0.17057,141,801.0001,801.0001,0,0
0.17058,142,801.0001,801.0001,0,0
0.17058,143,801.0001,801.0001,0,0
0.17059,144,801.0001,801.0001,0,0
0.17060,145,801.0001,801.0001,0,0
0.17061,146,801.0001,801.0001,0,0
0.17062,147,801.0001,801.0001,0,0
0.17063,148,801.0001,801.0001,0,0
0.17064,149,801.0001,801.0001,0,0
0.17066,150,801.0001,801.0001,0,0
0.17068,151,801.0001,801.0001,0,0
0.17069,152,801.0001,801.0001,0,0
0.17071,153,801.0001,801.0001,0,0
0.17072,154,801.0001,801.0001,0,0
0.17073,155,801.0001,801.0001,0,0
0.17075,156,801.0001,801.0001,0,0
0.17078,157,801.0001,801.0001,0,0
0.17080,158,801.0001,801.0001,0,0
0.17082,159,801.0001,801.0001,0,0
0.17083,160,801.0001,801.0001,0,0
0.17085,161,801.0001,801.0001,0,0
0.17087,162,801.0001,801.0001,0,0
0.17088,163,801.0001,801.0001,0,0
0.17090,164,801.0001,801.0001,0,0
0.17092,165,801.0001,801.0001,0,0
0.17093,166,801.0001,801.0001,0,0
0.17095,167,801.0001,801.0001,0,0
0.17096,168,801.0001,801.0001,0,0
0.17098,169,801.0001,801.0001,0,0
0.17235,170,801.0001,801.0001,0,0
0.17240,171,801.0001,801.0001,0,0
0.17352,172,801.0001,801.0001,0,0
0.17546,173,801.0001,801.0001,0,0
0.17555,174,801.0001,801.0001,0,0
0.17721,175,801.0001,801.0001,0,0
0.17724,176,801.0001,801.0001,0,0
0.17848,177,801.0001,801.0001,0,0
0.18029,178,801.0001,801.0001,0,0
0.18031,179,801.0001,801.0001,0,0
0.18153,180,801.0001,801.0001,0,0
0.18340,181,801.0001,801.0001,0,0
0.18344,182,801.0001,801.0001,0,0
0.18518,183,801.0001,801.0001,0,0
0.18519,184,801.0001,801.0001,0,0
0.18645,185,801.0001,801.0001,0,0
0.18833,186,801.0001,801.0001,0,0
0.18836,187,801.0001,801.0001,0,0
0.18953,188,801.0001,801.0001,0,0
0.19140,189,801.0001,801.0001,0,0
0.19143,190,801.0001,801.0001,0,0
0.19319,191,801.0001,801.0001,0,0
0.19321,192,801.0001,801.0001,0,0
0.19446,193,801.0001,801.0001,0,0
0.19628,194,801.0001,801.0001,0,0
0.19629,195,801.0001,801.0001,0,0
0.19755,196,801.0001,801.0001,0,0
0.19936,197,801.0001,801.0001,0,0
0.19939,198,801.0001,801.0001,0,0
