t,n,A,B,C,D
0.00243,0,787.995361,787.9954,-0.00286865234,0
0.00246,1,787.995361,787.9954,-0.00286865234,0
0.00360,2,787.995361,787.9954,-0.00286865234,0
0.00361,3,787.995361,787.9954,-0.00286865234,0
0.00545,4,787.995361,787.9954,-0.00286865234,0
0.00726,5,787.995361,787.9954,-0.00286865234,0
0.00728,6,787.995361,787.9954,-0.00286865234,0
0.00852,7,787.995361,787.9954,-0.00286865234,0
0.01039,8,787.995361,787.9954,-0.00286865234,0
0.01043,9,787.995361,787.9954,-0.00286865234,0
0.01160,10,787.995361,787.9954,-0.00286865234,0
0.01161,11,787.995361,787.9954,-0.00286865234,0
0.01346,12,787.995361,787.9954,-0.00286865234,0
0.01526,13,787.995361,787.9954,-0.00286865234,0
0.01528,14,787.995361,787.9954,-0.00286865234,0
0.01654,15,787.995361,787.9954,-0.00286865234,0
0.01839,16,787.995361,787.9954,-0.00286865234,0
0.01843,17,787.995361,787.9954,-0.00286865234,0
0.01962,18,787.995361,787.9954,-0.00286865234,0
0.01966,19,787.995361,787.9954,-0.00286865234,0
0.02149,20,787.995361,787.9954,-0.00286865234,0
0.02326,21,787.995361,787.9954,-0.00286865234,0
0.02327,22,787.995361,787.9954,-0.00286865234,0
0.02451,23,787.995361,787.9954,-0.00286865234,0
0.02636,24,787.995361,787.9954,-0.00286865234,0
0.02638,25,787.995361,787.9954,-0.00286865234,0
0.02762,26,787.995361,787.9954,-0.00286865234,0
0.02764,27,787.995361,787.9954,-0.00286865234,0
0.02950,28,787.995361,787.9954,-0.00286865234,0
0.03127,29,787.995361,787.9954,-0.00286865234,0
0.03129,30,787.995361,787.9954,-0.00286865234,0
0.03258,31,787.995361,787.9954,-0.00286865234,0
0.03435,32,787.995361,787.9954,-0.00286865234,0
0.03438,33,787.995361,787.9954,-0.00286865234,0
0.03561,34,787.995361,787.9954,-0.00286865234,0
0.03562,35,787.995361,787.9954,-0.00286865234,0
0.03747,36,787.995361,787.9954,-0.00286865234,0
0.03928,37,787.995361,787.9954,-0.00286865234,0
0.03930,38,787.995361,787.9954,-0.00286865234,0
0.04054,39,787.995361,787.9954,-0.00286865234,0
0.04240,40,787.995361,787.9954,-0.00286865234,0
0.04243,41,787.995361,787.9954,-0.00286865234,0
0.04360,42,787.995361,787.9954,-0.00286865234,0
0.04362,43,787.995361,787.9954,-0.00286865234,0
0.04572,44,787.995361,787.9954,-0.00286865234,0
0.04727,45,787.995361,787.9954,-0.00286865234,0
0.04730,46,787.995361,787.9954,-0.00286865234,0
0.04856,47,787.995361,787.9954,-0.00286865234,0
0.05034,48,787.995361,787.9954,-0.00286865234,0
0.05036,49,787.995361,787.9954,-0.00286865234,0
0.05161,50,787.995361,787.9954,-0.00286865234,0
0.05162,51,787.995361,787.9954,-0.00286865234,0
0.05345,52,787.995361,787.9954,-0.00286865234,0
0.05526,53,787.995361,787.9954,-0.00286865234,0
0.05528,54,787.995361,787.9954,-0.00286865234,0
0.05651,55,787.995361,787.9954,-0.00286865234,0
0.05834,56,787.995361,787.9954,-0.00286865234,0
0.05836,57,787.995361,787.9954,-0.00286865234,0
0.05961,58,787.995361,787.9954,-0.00286865234,0
0.05963,59,787.995361,787.9954,-0.00286865234,0
0.06147,60,787.995361,787.9954,-0.00286865234,0
0.06328,61,787.995361,787.9954,-0.00286865234,0
0.06330,62,787.995361,787.9954,-0.00286865234,0
0.06456,63,787.995361,787.9954,-0.00286865234,0
0.06635,64,787.995361,787.9954,-0.00286865234,0
0.06637,65,787.995361,787.9954,-0.00286865234,0
0.06762,66,787.995361,787.9954,-0.00286865234,0
0.06764,67,787.995361,787.9954,-0.00286865234,0
0.06944,68,787.995361,787.9954,-0.00286865234,0
