t,n,A,B,C,D
0.00082,0,807.794434,807.794434,0,0
0.00196,1,807.794434,807.794434,0,0
0.00379,2,807.794434,807.794434,0,0
0.00383,3,807.794434,807.794434,0,0
0.00499,4,807.794434,807.794434,0,0
0.00501,5,807.794434,807.794434,0,0
0.00685,6,807.794434,807.794434,0,0
0.00866,7,807.794434,807.794434,0,0
0.00869,8,807.794434,807.794434,0,0
0.00997,9,807.794434,807.794434,0,0
0.01204,10,807.794434,807.794434,0,0
0.01210,11,807.794434,807.794434,0,0
0.01302,12,807.794434,807.794434,0,0
0.01305,13,807.794434,807.794434,0,0
0.01487,14,807.794434,807.794434,0,0
0.01667,15,807.794434,807.794434,0,0
0.01671,16,807.794434,807.794434,0,0
0.01796,17,807.794434,807.794434,0,0
0.01977,18,807.794434,807.794434,0,0
0.01979,19,807.794434,807.794434,0,0
0.02099,20,807.794434,807.794434,0,0
0.02101,21,807.794434,807.794434,0,0
0.02286,22,807.794434,807.794434,0,0
0.02469,23,807.794434,807.794434,0,0
0.02472,24,807.794434,807.794434,0,0
0.02595,25,807.794434,807.794434,0,0
0.02779,26,807.794434,807.794434,0,0
0.02782,27,807.794434,807.794434,0,0
0.02905,28,807.794434,807.794434,0,0
0.02909,29,807.794434,807.794434,0,0
0.03093,30,807.794434,807.794434,0,0
0.03267,31,807.794434,807.794434,0,0
0.03269,32,807.794434,807.794434,0,0
0.03396,33,807.794434,807.794434,0,0
0.03574,34,807.794434,807.794434,0,0
0.03577,35,807.794434,807.794434,0,0
0.03699,36,807.794434,807.794434,0,0
0.03700,37,807.794434,807.794434,0,0
0.03883,38,807.794434,807.794434,0,0
0.04070,39,807.794434,807.794434,0,0
0.04072,40,807.794434,807.794434,0,0
0.04196,41,807.794434,807.794434,0,0
0.04378,42,807.794434,807.794434,0,0
0.04383,43,807.794434,807.794434,0,0
0.04508,44,807.794434,807.794434,0,0
0.04514,45,807.794434,807.794434,0,0
0.04698,46,807.794434,807.794434,0,0
0.04864,47,807.794434,807.794434,0,0
0.04867,48,807.794434,807.794434,0,0
0.04995,49,807.794434,807.794434,0,0
0.05178,50,807.794434,807.794434,0,0
0.05181,51,807.794434,807.794434,0,0
0.05300,52,807.794434,807.794434,0,0
0.05303,53,807.794434,807.794434,0,0
0.05482,54,807.794434,807.794434,0,0
0.05667,55,807.794434,807.794434,0,0
0.05670,56,807.794434,807.794434,0,0
0.05795,57,807.794434,807.794434,0,0
0.05975,58,807.794434,807.794434,0,0
0.05977,59,807.794434,807.794434,0,0
0.06099,60,807.794434,807.794434,0,0
0.06101,61,807.794434,807.794434,0,0
0.06285,62,807.794434,807.794434,0,0
0.06465,63,807.794434,807.794434,0,0
0.06466,64,807.794434,807.794434,0,0
0.06597,65,807.794434,807.794434,0,0
0.06778,66,807.794434,807.794434,0,0
0.06780,67,807.794434,807.794434,0,0
0.06899,68,807.794434,807.794434,0,0
0.06900,69,807.794434,807.794434,0,0
0.07087,70,807.794434,807.794434,0,0
0.07271,71,807.794434,807.794434,0,0
0.07274,72,807.794434,807.794434,0,0
0.07396,73,807.794434,807.794434,0,0
0.07577,74,807.794434,807.794434,0,0
0.07579,75,807.794434,807.794434,0,0
0.07699,76,807.794434,807.794434,0,0
0.07701,77,807.794434,807.794434,0,0
0.07888,78,807.794434,807.794434,0,0
0.08067,79,807.794434,807.794434,0,0
0.08070,80,807.794434,807.794434,0,0
0.08196,81,807.794434,807.794434,0,0
0.08376,82,807.794434,807.794434,0,0
0.08378,83,807.794434,807.794434,0,0
0.08499,84,807.794434,807.794434,0,0
0.08501,85,807.794434,807.794434,0,0
0.08684,86,807.794434,807.794434,0,0
0.08868,87,807.794434,807.794434,0,0
0.08870,88,807.794434,807.794434,0,0
0.08996,89,807.794434,807.794434,0,0
0.09175,90,807.794434,807.7945,-0.006713867,0
0.09177,91,807.794434,807.7945,-0.006713867,0
0.09300,92,807.794434,807.7945,-0.006713867,0
0.09301,93,807.794434,807.794556,-0.0134277344,0.0109064905
0.09485,94,807.794434,807.794556,-0.0134277344,0.021812981
0.09667,95,807.794434,807.794556,-0.0134277344,0.021812981
0.09671,96,807.794434,807.794556,-0.0134277344,0.021812981
0.09799,97,807.794434,807.794556,-0.0134277344,0.0109064905
0.09976,98,807.794434,807.794556,-0.0134277344,0
0.09977,99,807.794434,807.794556,-0.0134277344,0
0.10099,100,807.794434,807.794556,-0.0134277344,0
0.10100,101,807.794434,807.794556,-0.0134277344,0
0.10281,102,807.794434,807.794556,-0.0134277344,0
0.10465,103,807.794434,807.794556,-0.0134277344,-0.0163597353
0.10468,104,807.794434,807.7945,-0.006713867,-0.0163597353
0.10599,105,807.794434,807.794434,0,-0.0272662267
0.10778,106,807.794434,807.794434,0,-0.03817272
0.10781,107,807.794434,807.794434,0,-0.03817272
0.10901,108,807.794434,807.794434,0,-0.03817272
0.10904,109,807.794434,807.794434,0,-0.03817272
0.11089,110,807.794434,807.794434,0,-0.0272662267
0.11265,111,807.794434,807.794434,0,-0.0272662267
0.11267,112,807.794434,807.7943,0.0134277344,-0.0272662267
0.11409,113,807.794434,807.794434,0,-0.0163597353
0.11578,114,807.794434,807.794434,0,0
0.11581,115,807.794434,807.794434,0,0
0.11699,116,807.794434,807.794434,0,0.0109064905
0.11700,117,807.794434,807.794434,0,0.0109064905
0.11882,118,807.794434,807.7945,-0.006713867,0
0.12068,119,807.794434,807.7945,-0.006713867,0.0109064905
0.12072,120,807.794434,807.7945,-0.006713867,0.0109064905
0.12196,121,807.794434,807.7945,-0.006713867,0.0109064905
0.12376,122,807.794434,807.7945,-0.006713867,0.0109064905
0.12380,123,807.794434,807.7945,-0.006713867,0
0.12499,124,807.794434,807.7945,-0.006713867,0
0.12501,125,807.794434,807.7945,-0.006713867,0
0.12684,126,807.794434,807.794434,0,0
0.12876,127,807.794434,807.794434,0,-0.0163597353
0.12881,128,807.794434,807.794434,0,-0.0163597353
0.13000,129,807.794434,807.794434,0,-0.0163597353
0.13177,130,807.794434,807.794434,0,-0.0163597353
0.13181,131,807.794434,807.794434,0,0
0.13301,132,807.794434,807.794434,0,0
0.13303,133,807.794434,807.794434,0,0
0.13486,134,807.794434,807.794434,0,0
0.13664,135,807.794434,807.794434,0,0
0.13666,136,807.794434,807.794434,0,0
0.13795,137,807.794434,807.794434,0,0
0.13979,138,807.794434,807.794434,0,0
0.13983,139,807.794434,807.794434,0,0
0.14099,140,807.794434,807.794434,0,0
0.14102,141,807.794434,807.794434,0,0
0.14286,142,807.794434,807.794434,0,0
0.14467,143,807.794434,807.794434,0,0
0.14470,144,807.794434,807.794434,0,0
0.14599,145,807.794434,807.794434,0,0
0.14777,146,807.794434,807.794434,0,0
0.14781,147,807.794434,807.794434,0,0
0.14900,148,807.794434,807.794434,0,0
0.14901,149,807.794434,807.794434,0,0
0.15083,150,807.794434,807.794434,0,0
0.15268,151,807.794434,807.794434,0,0
0.15272,152,807.794434,807.7945,-0.006713867,0
0.15395,153,807.794434,807.7945,-0.006713867,0
0.15574,154,807.794434,807.7945,-0.006713867,0
0.15575,155,807.794434,807.7945,-0.006713867,0
0.15701,156,807.794434,807.7945,-0.006713867,0
0.15704,157,807.794434,807.7945,-0.006713867,0
0.15885,158,807.794434,807.7945,-0.006713867,0
0.16064,159,807.794434,807.7945,-0.006713867,0
0.16066,160,807.794434,807.7945,-0.006713867,0
0.16199,161,807.794434,807.7945,-0.006713867,0
0.16380,162,807.794434,807.7945,-0.006713867,0
0.16383,163,807.794434,807.7945,-0.006713867,0
0.16500,164,807.794434,807.7945,-0.006713867,0
0.16504,165,807.794434,807.794434,0,0
0.16684,166,807.794434,807.794434,0,-0.0163597353
0.16866,167,807.794434,807.794434,0,-0.0163597353
