t,n,A,B,C,D
0.00099,0,805.200562,805.2007,-0.01586914,0
0.00208,1,805.200562,805.2007,-0.01586914,0
0.00389,2,805.200562,805.2007,-0.01586914,0
0.00391,3,805.200562,805.2007,-0.01586914,0
0.00517,4,805.200562,805.2007,-0.01586914,0
0.00518,5,805.200562,805.2007,-0.01586914,0
0.00702,6,805.200562,805.2007,-0.01586914,0
0.00884,7,805.200562,805.2007,-0.01586914,0
0.00888,8,805.200562,805.2007,-0.01586914,0
0.01006,9,805.200562,805.2007,-0.01586914,0
0.01215,10,805.200562,805.2007,-0.01586914,0
0.01221,11,805.200562,805.2007,-0.01586914,0
0.01319,12,805.200562,805.2007,-0.01586914,0
0.01321,13,805.200562,805.2007,-0.01586914,0
0.01502,14,805.200562,805.2007,-0.01586914,0
0.01681,15,805.200562,805.2007,-0.01586914,0
0.01684,16,805.200562,805.2007,-0.01586914,0
0.01807,17,805.200562,805.2007,-0.01586914,0
0.01992,18,805.200562,805.2007,-0.01586914,0
0.01996,19,805.200562,805.2007,-0.01586914,0
0.02115,20,805.200562,805.2007,-0.01586914,0
0.02117,21,805.200562,805.2007,-0.01586914,0
0.02303,22,805.200562,805.2007,-0.01586914,0
0.02482,23,805.200562,805.2007,-0.01586914,0
0.02486,24,805.200562,805.2007,-0.01586914,0
0.02606,25,805.200562,805.2007,-0.01586914,0
0.02792,26,805.200562,805.2007,-0.01586914,0
0.02795,27,805.200562,805.2007,-0.01586914,0
0.02918,28,805.200562,805.2007,-0.01586914,0
0.02919,29,805.200562,805.2007,-0.01586914,0
0.03101,30,805.200562,805.2007,-0.01586914,0
0.03285,31,805.200562,805.2007,-0.01586914,0
0.03290,32,805.200562,805.2007,-0.01586914,0
0.03406,33,805.200562,805.2007,-0.01586914,0
0.03593,34,805.200562,805.2007,-0.01586914,0
0.03596,35,805.200562,805.2007,-0.01586914,0
0.03715,36,805.200562,805.2007,-0.01586914,0
0.03716,37,805.200562,805.2007,-0.01586914,0
0.03901,38,805.200562,805.2007,-0.01586914,0
0.04084,39,805.200562,805.2007,-0.01586914,0
0.04089,40,805.200562,805.2007,-0.01586914,0
0.04207,41,805.200562,805.2007,-0.01586914,0
0.04392,42,805.200562,805.2007,-0.01586914,0
0.04395,43,805.200562,805.2007,-0.01586914,0
0.04528,44,805.200562,805.2007,-0.01586914,0
0.04531,45,805.200562,805.2007,-0.01586914,0
0.04705,46,805.200562,805.2007,-0.01586914,0
