t,n,A,B,C,D
0.00044,0,816.387268,816.3873,-0.00793457,0
0.00157,1,816.387268,816.3873,-0.00793457,0
0.00159,2,816.387268,816.3873,-0.00793457,0
0.00342,3,816.387268,816.3873,-0.00793457,0
0.00524,4,816.387268,816.3873,-0.00793457,0
0.00530,5,816.387268,816.3873,-0.00793457,0
0.00649,6,816.387268,816.3873,-0.00793457,0
0.00831,7,816.387268,816.3873,-0.00793457,0
0.00835,8,816.387268,816.3873,-0.00793457,0
0.00958,9,816.387268,816.3873,-0.00793457,0
0.00962,10,816.387268,816.3873,-0.00793457,0
0.01140,11,816.387268,816.3873,-0.00793457,0
0.01322,12,816.387268,816.3873,-0.00793457,0
0.01327,13,816.387268,816.3873,-0.00793457,0
0.01448,14,816.387268,816.3873,-0.00793457,0
0.01633,15,816.387268,816.3873,-0.00793457,0
0.01635,16,816.387268,816.3873,-0.00793457,0
0.01755,17,816.387268,816.3873,-0.00793457,0
0.01756,18,816.387268,816.3873,-0.00793457,0
0.01942,19,816.387268,816.3873,-0.00793457,0
0.02126,20,816.387268,816.3873,-0.00793457,0
0.02130,21,816.387268,816.3873,-0.00793457,0
0.02248,22,816.387268,816.3873,-0.00793457,0
0.02433,23,816.387268,816.3873,-0.00793457,0
0.02439,24,816.387268,816.3873,-0.00793457,0
0.02557,25,816.387268,816.3873,-0.00793457,0
0.02559,26,816.387268,816.3873,-0.00793457,0
0.02742,27,816.387268,816.3873,-0.00793457,0
0.02921,28,816.387268,816.3873,-0.00793457,0
0.02924,29,816.387268,816.3873,-0.00793457,0
0.03047,30,816.387268,816.3873,-0.00793457,0
0.03233,31,816.387268,816.3873,-0.00793457,0
0.03236,32,816.387268,816.3873,-0.00793457,0
0.03355,33,816.387268,816.3873,-0.00793457,0
0.03356,34,816.387268,816.3873,-0.00793457,0
0.03539,35,816.387268,816.3873,-0.00793457,0
0.03763,36,816.387268,816.3873,-0.00793457,0
0.03768,37,816.387268,816.3873,-0.00793457,0
0.03849,38,816.387268,816.3873,-0.00793457,0
0.04036,39,816.387268,816.3873,-0.00793457,0
0.04038,40,816.387268,816.3873,-0.00793457,0
0.04156,41,816.387268,816.3873,-0.00793457,0
0.04158,42,816.387268,816.3873,-0.00793457,0
0.04338,43,816.387268,816.3873,-0.00793457,0
0.04525,44,816.387268,816.3873,-0.00793457,0
0.04527,45,816.387268,816.3873,-0.00793457,0
0.04647,46,816.387268,816.3873,-0.00793457,0
0.04833,47,816.387268,816.3873,-0.00793457,0
0.04835,48,816.387268,816.3873,-0.00793457,0
0.04956,49,816.387268,816.3873,-0.00793457,0
0.04958,50,816.387268,816.3873,-0.00793457,0
0.05141,51,816.387268,816.3873,-0.00793457,0
0.05320,52,816.387268,816.3873,-0.00793457,0
0.05322,53,816.387268,816.3873,-0.00793457,0
0.05449,54,816.387268,816.3873,-0.00793457,0
0.05635,55,816.387268,816.3873,-0.00793457,0
0.05639,56,816.387268,816.3873,-0.00793457,0
0.05755,57,816.387268,816.3873,-0.00793457,0
0.05758,58,816.387268,816.3873,-0.00793457,0
0.05939,59,816.387268,816.3873,-0.00793457,0
0.06127,60,816.387268,816.3873,-0.00793457,0
0.06130,61,816.387268,816.3873,-0.00793457,0
0.06248,62,816.387268,816.3873,-0.00793457,0
0.06433,63,816.387268,816.3873,-0.00793457,0
0.06436,64,816.387268,816.3873,-0.00793457,0
0.06556,65,816.387268,816.3873,-0.00793457,0
0.06557,66,816.387268,816.3873,-0.00793457,0
0.06738,67,816.387268,816.3873,-0.00793457,0
0.06923,68,816.387268,816.3873,-0.00793457,0
0.06927,69,816.387268,816.3873,-0.00793457,0
0.07070,70,816.387268,816.3873,-0.00793457,0
0.07231,71,816.387268,816.3873,-0.00793457,0
0.07233,72,816.387268,816.3873,-0.00793457,0
0.07357,73,816.387268,816.3873,-0.00793457,0
0.07359,74,816.387268,816.3873,-0.00793457,0
0.07542,75,816.387268,816.3873,-0.00793457,0
0.07726,76,816.387268,816.3873,-0.00793457,0
0.07730,77,816.387268,816.3873,-0.00793457,0
0.07847,78,816.387268,816.3873,-0.00793457,0
0.08030,79,816.387268,816.3873,-0.00793457,0
0.08031,80,816.387268,816.3873,-0.00793457,0
0.08156,81,816.387268,816.3873,-0.00793457,0
0.08157,82,816.387268,816.3873,-0.00793457,0
0.08343,83,816.387268,816.3873,-0.00793457,0
0.08523,84,816.387268,816.3873,-0.00793457,0
0.08526,85,816.387268,816.3873,-0.00793457,0
0.08647,86,816.387268,816.3873,-0.00793457,0
0.08832,87,816.387268,816.3873,-0.00793457,0
0.08835,88,816.387268,816.3873,-0.00793457,0
0.08961,89,816.387268,816.3873,-0.00793457,0
0.08964,90,816.387268,816.3873,-0.00793457,0
0.09142,91,816.387268,816.3873,-0.00793457,0
0.09323,92,816.387268,816.3873,-0.00793457,0
0.09327,93,816.387268,816.3873,-0.00793457,0
0.09447,94,816.387268,816.3873,-0.00793457,0
0.09630,95,816.387268,816.3873,-0.00793457,0
0.09632,96,816.387268,816.3873,-0.00793457,0
0.09760,97,816.387268,816.3873,-0.00793457,0
0.09762,98,816.387268,816.3873,-0.00793457,0
