t,n,A,B,C,D
0.00173,0,804.4014,804.40155,-0.01953125,0
0.00280,1,804.4014,804.40155,-0.01953125,0
0.00464,2,804.4014,804.40155,-0.01953125,0
0.00465,3,804.4014,804.40155,-0.01953125,0
0.00596,4,804.4014,804.40155,-0.01953125,0
0.00599,5,804.4014,804.40155,-0.01953125,0
0.00770,6,804.4014,804.40155,-0.01953125,0
0.00959,7,804.4014,804.40155,-0.01953125,0
0.00962,8,804.4014,804.40155,-0.01953125,0
0.01087,9,804.4014,804.40155,-0.01953125,0
0.01262,10,804.4014,804.40155,-0.01953125,0
0.01265,11,804.4014,804.40155,-0.01953125,0
0.01388,12,804.4014,804.40155,-0.01953125,0
0.01391,13,804.4014,804.40155,-0.01953125,0
0.01569,14,804.4014,804.40155,-0.01953125,0
0.01753,15,804.4014,804.40155,-0.01953125,0
0.01755,16,804.4014,804.40155,-0.01953125,0
0.01877,17,804.4014,804.40155,-0.01953125,0
0.02060,18,804.4014,804.40155,-0.01953125,0
0.02061,19,804.4014,804.40155,-0.01953125,0
0.02189,20,804.4014,804.40155,-0.01953125,0
0.02191,21,804.4014,804.40155,-0.01953125,0
0.02369,22,804.4014,804.40155,-0.01953125,0
0.02580,23,804.4014,804.40155,-0.01953125,0
0.02587,24,804.4014,804.40155,-0.01953125,0
0.02680,25,804.4014,804.40155,-0.01953125,0
0.02862,26,804.4014,804.40155,-0.01953125,0
0.02864,27,804.4014,804.40155,-0.01953125,0
0.02989,28,804.4014,804.40155,-0.01953125,0
0.02991,29,804.4014,804.40155,-0.01953125,0
0.03169,30,804.4014,804.40155,-0.01953125,0
0.03353,31,804.4014,804.40155,-0.01953125,0
0.03354,32,804.4014,804.40155,-0.01953125,0
0.03477,33,804.4014,804.40155,-0.01953125,0
0.03661,34,804.4014,804.40155,-0.01953125,0
0.03665,35,804.4014,804.40155,-0.01953125,0
0.03788,36,804.4014,804.40155,-0.01953125,0
0.03790,37,804.4014,804.40155,-0.01953125,0
0.03971,38,804.4014,804.40155,-0.01953125,0
0.04155,39,804.4014,804.40155,-0.01953125,0
0.04159,40,804.4014,804.40155,-0.01953125,0
0.04279,41,804.4014,804.40155,-0.01953125,0
