t,n,A,B,C,D
0.00241,0,818.5914,818.5914,0,0
0.00244,1,818.5914,818.5914,0,0
0.00363,2,818.5914,818.5914,0,0
0.00368,3,818.5914,818.5914,0,0
0.00541,4,818.5914,818.5914,0,0
0.00720,5,818.5914,818.5914,0,0
0.00723,6,818.5914,818.5914,0,0
0.00850,7,818.5914,818.5914,0,0
0.01033,8,818.5914,818.5914,0,0
0.01035,9,818.5914,818.5914,0,0
0.01161,10,818.5914,818.5914,0,0
0.01164,11,818.5914,818.5914,0,0
0.01339,12,818.5914,818.5914,0,0
0.01522,13,818.5914,818.5914,0,0
0.01525,14,818.5914,818.5914,0,0
0.01649,15,818.5914,818.5914,0,0
0.01840,16,818.5914,818.5914,0,0
0.01844,17,818.5914,818.5914,0,0
0.01957,18,818.5914,818.5914,0,0
0.01958,19,818.5914,818.5914,0,0
0.02141,20,818.5914,818.5914,0,0
0.02320,21,818.5914,818.5914,0,0
0.02324,22,818.5914,818.5914,0,0
0.02450,23,818.5914,818.5914,0,0
0.02632,24,818.5914,818.5914,0,0
0.02636,25,818.5914,818.5914,0,0
0.02758,26,818.5914,818.5914,0,0
0.02761,27,818.5914,818.5914,0,0
0.02937,28,818.5914,818.5914,0,0
0.03120,29,818.5914,818.5914,0,0
0.03122,30,818.5914,818.5914,0,0
0.03246,31,818.5914,818.5914,0,0
0.03428,32,818.5914,818.5914,0,0
0.03429,33,818.5914,818.5914,0,0
0.03557,34,818.5914,818.5914,0,0
0.03559,35,818.5914,818.5914,0,0
0.03738,36,818.5914,818.5914,0,0
0.03922,37,818.5914,818.5914,0,0
0.03924,38,818.5914,818.5914,0,0
0.04046,39,818.5914,818.5914,0,0
0.04228,40,818.5914,818.5914,0,0
0.04230,41,818.5914,818.5914,0,0
0.04357,42,818.5914,818.5914,0,0
0.04359,43,818.5914,818.5914,0,0
0.04537,44,818.5914,818.5914,0,0
0.04720,45,818.5914,818.5914,0,0
0.04721,46,818.5914,818.5914,0,0
0.04845,47,818.5914,818.5914,0,0
0.05029,48,818.5914,818.5914,0,0
0.05030,49,818.5914,818.5914,0,0
0.05195,50,818.5914,818.5914,0,0
0.05198,51,818.5914,818.5914,0,0
0.05342,52,818.5914,818.5914,0,0
0.05527,53,818.5914,818.5914,0,0
0.05529,54,818.5914,818.5914,0,0
0.05646,55,818.5914,818.5914,0,0
0.05831,56,818.5914,818.5914,0,0
0.05833,57,818.5914,818.5914,0,0
0.05956,58,818.5914,818.5914,0,0
0.05958,59,818.5914,818.5914,0,0
0.06136,60,818.5914,818.5914,0,0
0.06320,61,818.5914,818.5914,0,0
0.06323,62,818.5914,818.5914,0,0
0.06445,63,818.5914,818.5914,0,0
0.06629,64,818.5914,818.5914,0,0
0.06632,65,818.5914,818.5914,0,0
0.06757,66,818.5914,818.5914,0,0
0.06762,67,818.5914,818.5914,0,0
0.06942,68,818.5914,818.5914,0,0
0.07123,69,818.5914,818.5914,0,0
0.07124,70,818.5914,818.5914,0,0
