t,n,A,B,C,D
0.00069,0,0,-0.0133801559,0.200702339,0
0.00248,1,0,-0.0133801559,0.200702339,0
0.00253,2,0,-0.0133801559,0.200702339,0
0.00362,3,0,-0.0133801559,0.200702339,0
0.00552,4,0,-0.0133801559,0.200702339,0
0.00556,5,0,-0.0133801559,0.200702339,0
0.00671,6,0,-0.0133801559,0.200702339,0
0.00863,7,0,-0.0133801559,0.200702339,0
0.00866,8,0,-0.0133801559,0.200702339,0
0.01051,9,0,-0.0133801559,0.200702339,0
0.01053,10,0,-0.0133801559,0.200702339,0
0.01167,11,0,-0.0133801559,0.200702339,0
0.01351,12,0,-0.0133801559,0.200702339,0
0.01356,13,0,-0.0133801559,0.200702339,0
0.01470,14,0,-0.0133801559,0.200702339,0
0.01663,15,0,-0.0133801559,0.200702339,0
0.01667,16,0,-0.0133801559,0.200702339,0
0.01838,17,0,-0.0133801559,0.200702339,0
0.01843,18,0,-0.0133801559,0.200702339,0
0.01963,19,0,-0.0133801559,0.200702339,0
0.02149,20,0,-0.0133801559,0.200702339,0
0.02153,21,0,-0.0133801559,0.200702339,0
0.02277,22,0,-0.0133801559,0.200702339,0
0.02462,23,0,-0.0133801559,0.200702339,0
0.02466,24,0,-0.0133801559,0.200702339,0
0.02638,25,0,-0.0133801559,0.200702339,0
0.02640,26,0,-0.0133801559,0.200702339,0
0.02763,27,0,-0.0133801559,0.200702339,0
0.02950,28,0,-0.0133801559,0.200702339,0
0.02953,29,0,-0.0133801559,0.200702339,0
0.03071,30,0,-0.0133801559,0.200702339,0
0.03268,31,0,-0.0133801559,0.200702339,0
0.03273,32,0,-0.0133801559,0.200702339,0
0.03441,33,0,-0.0133801559,0.200702339,0
0.03443,34,0,-0.0133801559,0.200702339,0
0.03562,35,0,-0.0133801559,0.200702339,0
0.03749,36,0,-0.0133801559,0.200702339,0
0.03751,37,0,-0.0133801559,0.200702339,0
0.03874,38,0,-0.0133801559,0.200702339,0
0.04064,39,0,-0.0133801559,0.200702339,0
0.04067,40,0,-0.0133801559,0.200702339,0
0.04237,41,0,-0.0133801559,0.200702339,0
0.04242,42,0,-0.0133801559,0.200702339,0
0.04382,43,0,-0.0133801559,0.200702339,0
0.04549,44,0,-0.0133801559,0.200702339,0
0.04553,45,0,-0.0133801559,0.200702339,0
0.04671,46,0,-0.0133801559,0.200702339,0
0.04861,47,0,-0.0133801559,0.200702339,0
0.04866,48,0,-0.0133801559,0.200702339,0
0.05041,49,0,-0.0133801559,0.200702339,0
0.05044,50,0,-0.0133801559,0.200702339,0
0.05161,51,0,-0.0133801559,0.200702339,0
0.05349,52,0,-0.0133801559,0.200702339,0
0.05351,53,0,-0.0133801559,0.200702339,0
0.05472,54,0,-0.0133801559,0.200702339,0
0.05663,55,0,-0.0133801559,0.200702339,0
0.05666,56,0,-0.0133801559,0.200702339,0
0.05835,57,0,-0.0133801559,0.200702339,0
0.05836,58,0,-0.0133801559,0.200702339,0
0.05961,59,0,-0.0133801559,0.200702339,0
0.06147,60,0,-0.0133801559,0.200702339,0
0.06149,61,0,-0.0133801559,0.200702339,0
0.06272,62,0,-0.0133801559,0.200702339,0
0.06463,63,0,-0.0133801559,0.200702339,0
0.06466,64,0,-0.0133801559,0.200702339,0
0.06636,65,0,-0.0133801559,0.200702339,0
0.06637,66,0,-0.0133801559,0.200702339,0
0.06761,67,0,-0.0133801559,0.200702339,0
0.06945,68,0,-0.0133801559,0.200702339,0
0.06946,69,0,-0.0133801559,0.200702339,0
0.07073,70,0,-0.0133801559,0.200702339,0
0.07261,71,0,-0.0133801559,0.200702339,0
0.07264,72,0,-0.0133801559,0.200702339,0
0.07435,73,0,-0.0133801559,0.200702339,0
0.07437,74,0,-0.0133801559,0.200702339,0
0.07562,75,0,-0.0133801559,0.200702339,0
0.07750,76,0,-0.0133801559,0.200702339,0
0.07753,77,0,-0.0133801559,0.200702339,0
0.07871,78,0,-0.0133801559,0.200702339,0
0.08060,79,0,-0.0133801559,0.200702339,0
0.08064,80,0,-0.0133801559,0.200702339,0
0.08237,81,0,-0.0133801559,0.200702339,0
0.08239,82,0,-0.0133801559,0.200702339,0
0.08361,83,0,-0.0133801559,0.200702339,0
0.08547,84,0,-0.0133801559,0.200702339,0
0.08549,85,0,-0.0133801559,0.200702339,0
0.08674,86,0,-0.0133801559,0.200702339,0
0.08862,87,0,-0.0133801559,0.200702339,0
0.08865,88,0,-0.0133801559,0.200702339,0
0.09035,89,0,-0.0133801559,0.200702339,0
0.09037,90,0,-0.0133801559,0.200702339,0
0.09161,91,0,-0.0133801559,0.200702339,0
