t,n,A,B,C,D
0.00175,0,106.654732,106.87661,-0.221878052,0
0.00355,1,106.654732,106.876572,-0.2218399,-0.0272662267
0.00360,2,106.654732,106.876534,-0.221801758,-0.0272662267
0.00478,3,106.654732,106.87648,-0.221748352,-0.04907921
0.00666,4,106.654732,106.8764,-0.221672058,-0.0599856973
0.00668,5,106.654732,106.876366,-0.221633911,-0.0599856973
0.00787,6,106.654732,106.876328,-0.221595764,-0.07089219
0.00788,7,106.654732,106.876289,-0.221557617,-0.0599856973
0.00988,8,106.654732,106.876251,-0.22151947,-0.04907921
0.01153,9,106.654732,106.8762,-0.221466064,-0.04907921
0.01156,10,106.654732,106.87616,-0.221427917,-0.04907921
0.01284,11,106.654732,106.876122,-0.221389771,-0.03817272
0.01464,12,106.654732,106.876083,-0.221351624,-0.03817272
0.01466,13,106.654732,106.876083,-0.221351624,-0.03817272
0.01587,14,106.654732,106.876083,-0.221351624,-0.03817272
0.01588,15,106.654732,106.876083,-0.221351624,-0.0272662267
0.01771,16,106.654732,106.876083,-0.221351624,-0.0163597353
0.01955,17,106.654732,106.876083,-0.221351624,-0.0163597353
0.01959,18,106.654732,106.876083,-0.221351624,0
0.02078,19,106.654732,106.876083,-0.221351624,-0.0163597353
0.02263,20,106.654732,106.876083,-0.221351624,-0.0163597353
0.02265,21,106.654732,106.876045,-0.221313477,-0.0163597353
0.02389,22,106.654732,106.876045,-0.221313477,-0.0163597353
0.02392,23,106.654732,106.876045,-0.221313477,-0.0163597353
0.02570,24,106.654732,106.876045,-0.221313477,-0.0163597353
0.02753,25,106.654732,106.876007,-0.22127533,-0.0163597353
0.02755,26,106.654732,106.876007,-0.22127533,-0.0163597353
0.02882,27,106.654732,106.876007,-0.22127533,-0.0163597353
0.03068,28,106.654732,106.875969,-0.221237183,-0.0163597353
0.03071,29,106.654732,106.875969,-0.221237183,-0.0163597353
0.03187,30,106.654732,106.875969,-0.221237183,-0.0163597353
0.03188,31,106.654732,106.875923,-0.2211914,-0.0163597353
0.03371,32,106.654732,106.875923,-0.2211914,-0.0272662267
0.03555,33,106.654732,106.875923,-0.2211914,-0.0272662267
0.03558,34,106.654732,106.875885,-0.221153259,-0.0272662267
0.03679,35,106.654732,106.875885,-0.221153259,-0.0272662267
0.03863,36,106.654732,106.875885,-0.221153259,-0.0163597353
0.03865,37,106.654732,106.875847,-0.221115112,-0.0163597353
0.03988,38,106.654732,106.875847,-0.221115112,-0.0163597353
0.03992,39,106.654732,106.875847,-0.221115112,-0.0163597353
0.04174,40,106.654732,106.875809,-0.221076965,-0.0163597353
0.04354,41,106.654732,106.875809,-0.221076965,-0.0163597353
0.04357,42,106.654732,106.875771,-0.221038818,-0.0272662267
0.04479,43,106.654732,106.875732,-0.221000671,-0.0272662267
0.04666,44,106.654732,106.875732,-0.221000671,-0.0272662267
0.04670,45,106.654732,106.875694,-0.220962524,-0.03817272
0.04788,46,106.654732,106.875694,-0.220962524,-0.0272662267
0.04791,47,106.654732,106.875656,-0.220924377,-0.0272662267
0.04973,48,106.654732,106.8756,-0.220870972,-0.0272662267
0.05154,49,106.654732,106.8756,-0.220870972,-0.0272662267
0.05156,50,106.654732,106.875565,-0.220832825,-0.0272662267
0.05278,51,106.654732,106.875565,-0.220832825,-0.0272662267
0.05462,52,106.654732,106.875565,-0.220832825,-0.0272662267
0.05465,53,106.654732,106.875565,-0.220832825,-0.0272662267
0.05586,54,106.654732,106.875565,-0.220832825,-0.0163597353
0.05587,55,106.654732,106.875565,-0.220832825,-0.0163597353
0.05771,56,106.654732,106.875565,-0.220832825,-0.0163597353
0.05971,57,106.654732,106.875526,-0.220794678,-0.0163597353
0.05977,58,106.654732,106.875526,-0.220794678,-0.0163597353
0.06080,59,106.654732,106.875526,-0.220794678,-0.0163597353
0.06265,60,106.654732,106.875526,-0.220794678,-0.0163597353
0.06271,61,106.654732,106.875526,-0.220794678,-0.0163597353
0.06387,62,106.654732,106.875488,-0.220756531,-0.0163597353
0.06389,63,106.654732,106.875488,-0.220756531,-0.0163597353
0.06571,64,106.654732,106.875488,-0.220756531,-0.0163597353
0.06753,65,106.654732,106.87545,-0.220718384,-0.0163597353
0.06755,66,106.654732,106.87545,-0.220718384,-0.0163597353
0.06879,67,106.654732,106.87545,-0.220718384,-0.0163597353
0.07060,68,106.654732,106.87545,-0.220718384,-0.0163597353
0.07062,69,106.654732,106.875412,-0.220680237,-0.0163597353
0.07188,70,106.654732,106.875374,-0.22064209,-0.0272662267
0.07191,71,106.654732,106.87532,-0.220588684,-0.0272662267
0.07374,72,106.654732,106.875282,-0.220550537,-0.03817272
0.07555,73,106.654732,106.875244,-0.22051239,-0.04907921
0.07558,74,106.654732,106.875206,-0.220474243,-0.04907921
0.07680,75,106.654732,106.87513,-0.220397949,-0.04907921
0.07863,76,106.654732,106.875046,-0.220314026,-0.07089219
0.07865,77,106.654732,106.875008,-0.220275879,-0.07089219
0.07991,78,106.654732,106.874931,-0.220199585,-0.07089219
0.07993,79,106.654732,106.874855,-0.220123291,-0.07089219
0.08174,80,106.654732,106.874763,-0.220031738,-0.07089219
0.08359,81,106.654732,106.874649,-0.2199173,-0.08179868
0.08366,82,106.654732,106.874535,-0.219802856,-0.09270517
0.08482,83,106.654732,106.874367,-0.21963501,-0.103611663
0.08664,84,106.654732,106.87429,-0.219558716,-0.130877882
0.08666,85,106.654732,106.87413,-0.2193985,-0.130877882
0.08789,86,106.654732,106.873924,-0.2191925,-0.141784385
0.08792,87,106.654732,106.873772,-0.219039917,-0.16359736
0.08973,88,106.654732,106.873566,-0.218833923,-0.16359736
0.09154,89,106.654732,106.873413,-0.218681335,-0.185410336
0.09157,90,106.654732,106.873177,-0.218444824,-0.185410336
0.09296,91,106.654732,106.873009,-0.218276978,-0.196316838
0.09462,92,106.654732,106.872765,-0.218032837,-0.207223326
0.09465,93,106.654732,106.872612,-0.217880249,-0.207223326
0.09591,94,106.654732,106.872414,-0.217681885,-0.207223326
0.09594,95,106.654732,106.872246,-0.217514038,-0.196316838
0.09770,96,106.654732,106.872093,-0.21736145,-0.196316838
0.09956,97,106.654732,106.871925,-0.2171936,-0.185410336
0.09960,98,106.654732,106.871735,-0.217002869,-0.174503848
0.10078,99,106.654732,106.871613,-0.2168808,-0.174503848
0.10262,100,106.654732,106.8715,-0.216766357,-0.174503848
0.10266,101,106.654732,106.871407,-0.2166748,-0.152690873
0.10386,102,106.654732,106.87133,-0.216598511,-0.141784385
0.10388,103,106.654732,106.871216,-0.21648407,-0.114518143
0.10573,104,106.654732,106.871086,-0.21635437,-0.103611663
0.10755,105,106.654732,106.870972,-0.216239929,-0.103611663
0.10757,106,106.654732,106.870857,-0.216125488,-0.114518143
0.10877,107,106.654732,106.870773,-0.216041565,-0.114518143
0.11065,108,106.654732,106.870659,-0.215927124,-0.114518143
0.11068,109,106.654732,106.870491,-0.215759277,-0.114518143
0.11186,110,106.654732,106.8703,-0.215568542,-0.130877882
