t,n,A,B,C,D
0.00237,0,338.511017,338.8587,-0.347686768,0
0.00239,1,338.511017,338.8587,-0.347686768,0
0.00422,2,338.511017,338.8587,-0.347686768,0
0.00425,3,338.511017,338.8587,-0.347686768,0
0.00547,4,338.511017,338.8587,-0.347686768,0
0.00733,5,338.511017,338.8587,-0.347686768,0
0.00738,6,338.511017,338.8587,-0.347686768,0
0.00858,7,338.511017,338.8587,-0.347686768,0
0.01039,8,338.511017,338.8587,-0.347686768,0
0.01042,9,338.511017,338.8587,-0.347686768,0
0.01224,10,338.511017,338.8587,-0.347686768,0
0.01229,11,338.511017,338.8587,-0.347686768,0
0.01346,12,338.511017,338.8587,-0.347686768,0
0.01534,13,338.511017,338.8587,-0.347686768,0
0.01537,14,338.511017,338.8587,-0.347686768,0
0.01655,15,338.511017,338.8587,-0.347686768,0
0.01840,16,338.511017,338.8587,-0.347686768,0
0.01843,17,338.511017,338.8587,-0.347686768,0
0.02022,18,338.511017,338.8587,-0.347686768,0
0.02023,19,338.511017,338.8587,-0.347686768,0
0.02148,20,338.511017,338.858673,-0.34765625,-0.0163597353
0.02331,21,338.511017,338.858673,-0.34765625,-0.0163597353
0.02332,22,338.511017,338.858673,-0.34765625,-0.0272662267
0.02456,23,338.511017,338.858673,-0.34765625,-0.0272662267
0.02640,24,338.511017,338.858643,-0.347625732,-0.0163597353
0.02642,25,338.511017,338.858643,-0.347625732,-0.0163597353
0.02820,26,338.511017,338.858643,-0.347625732,-0.0163597353
0.02827,27,338.511017,338.858582,-0.3475647,-0.0163597353
0.02946,28,338.511017,338.858643,-0.347625732,-0.0163597353
0.03130,29,338.511017,338.858643,-0.347625732,-0.0163597353
0.03133,30,338.511017,338.858643,-0.347625732,-0.0163597353
0.03256,31,338.511017,338.858643,-0.347625732,0
0.03439,32,338.511017,338.858673,-0.34765625,0
0.03442,33,338.511017,338.858673,-0.34765625,0
0.03620,34,338.511017,338.858673,-0.34765625,0
0.03621,35,338.511017,338.858673,-0.34765625,0
0.03746,36,338.511017,338.858673,-0.34765625,0
